"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,"00:00:00 - 00:59:59",inactive,10,Daily,21.355371,"7-day click or 1-day view",5.907433,3615,1.228338,2943,0.0395574,143,,,,2025-10-26
2025-04-01,2025-09-17,IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,"00:00:00 - 00:59:59",inactive,30,Daily,37.723531,"7-day click or 1-day view",10.902755,3460,1.13294,3054,0.0300578,104,,,,Ongoing
2025-04-01,2025-09-17,FB_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,"00:00:00 - 00:59:59",inactive,30,Daily,43.832317,"7-day click or 1-day view",11.525721,3803,1.086882,3499,0.05811202,221,,,,Ongoing
2025-04-01,2025-09-17,FB_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,8.613864,"7-day click or 1-day view",8.172546,1054,1.052947,1001,0.07495256,79,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,12.073527,"7-day click or 1-day view",8.437125,1431,1.138425,1257,0.02096436,30,,,,Ongoing
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,"01:00:00 - 01:59:59",inactive,10,Daily,9.442375,"7-day click or 1-day view",6.119491,1543,1.126277,1370,0.04406999,68,,,,2025-10-26
2025-04-01,2025-09-17,IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,"01:00:00 - 01:59:59",inactive,30,Daily,23.892236,"7-day click or 1-day view",11.632053,2054,1.120567,1833,0.03602726,74,,,,Ongoing
2025-04-01,2025-09-17,FB_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,"01:00:00 - 01:59:59",inactive,30,Daily,31.631672,"7-day click or 1-day view",13.201866,2396,1.103131,2172,0.05258765,126,,,,Ongoing
2025-04-01,2025-09-17,FB_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,4.462002,"7-day click or 1-day view",7.939504,562,1.052434,534,0.05871886,33,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,7.062063,"7-day click or 1-day view",8.025071,880,1.108312,794,0.02159091,19,,,,Ongoing
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,"02:00:00 - 02:59:59",inactive,10,Daily,3.830964,"7-day click or 1-day view",5.512178,695,1.074189,647,0.04316547,30,,,,2025-10-26
2025-04-01,2025-09-17,IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,"02:00:00 - 02:59:59",inactive,30,Daily,17.781664,"7-day click or 1-day view",12.774184,1392,1.106518,1258,0.04454023,62,,,,Ongoing
2025-04-01,2025-09-17,FB_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,"02:00:00 - 02:59:59",inactive,30,Daily,30.671621,"7-day click or 1-day view",14.366099,2135,1.109091,1925,0.04777518,102,,,,Ongoing
2025-04-01,2025-09-17,FB_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,"02:00:00 - 02:59:59",inactive,"Using ad set budget",0,3.681651,"7-day click or 1-day view",8.979638,410,1.099196,373,0.07073171,29,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,"02:00:00 - 02:59:59",inactive,"Using ad set budget",0,5.831703,"7-day click or 1-day view",10.56468,552,1.088757,507,0.01630435,9,,,,Ongoing
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,"03:00:00 - 03:59:59",inactive,10,Daily,7.621917,"7-day click or 1-day view",5.475515,1392,1.165829,1194,0.04238506,59,,,,2025-10-26
2025-04-01,2025-09-17,IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,"03:00:00 - 03:59:59",inactive,30,Daily,27.432568,"7-day click or 1-day view",14.860546,1846,1.103407,1673,0.03304442,61,,,,Ongoing
