"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,"Audience Network","Native, banner & interstitial",In-app,"Android Smartphone",inactive,10,Daily,0.08002,"7-day click or 1-day view",2.353533,34,1.416667,24,0,,,,,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,"Audience Network","Native, banner & interstitial",In-app,"Android Tablet",inactive,10,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,"Audience Network","Native, banner & interstitial",In-app,iPhone,inactive,10,Daily,0.010003,"7-day click or 1-day view",0.294192,34,0,0,0.02941176,1,1,actions:landing_page_view,0.01000252,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Facebook Notifications",In-app,"Android Smartphone",inactive,10,Daily,0.920231,"7-day click or 1-day view",9.021877,102,1.0625,96,0.06862745,7,6,actions:landing_page_view,0.15337191,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Facebook Notifications",In-app,iPhone,inactive,10,Daily,3.550893,"7-day click or 1-day view",4.831147,735,1.954787,376,0.02721088,20,14,actions:landing_page_view,0.25363522,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,10,Daily,0.20005,"7-day click or 1-day view",4.763103,42,1.3125,32,0.04761905,2,2,actions:landing_page_view,0.10002516,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Facebook profile feed",In-app,iPad,inactive,10,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Facebook profile feed",In-app,iPhone,inactive,10,Daily,0.420106,"7-day click or 1-day view",3.135117,134,1.288462,104,0.00746269,1,,,,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,10,Daily,46.421675,"7-day click or 1-day view",6.307293,7360,2.745244,2681,0.05394022,397,329,actions:landing_page_view,0.14109932,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Facebook Reels",In-app,"Android Tablet",inactive,10,Daily,0.08002,"7-day click or 1-day view",8.891125,9,1.125,8,0.22222222,2,1,actions:landing_page_view,0.08002013,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Facebook Reels",In-app,iPad,inactive,10,Daily,0.24006,"7-day click or 1-day view",5.582799,43,1.791667,24,0,,1,actions:landing_page_view,0.24006038,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Facebook Reels",In-app,iPhone,inactive,10,Daily,234.018858,"7-day click or 1-day view",6.030326,38807,2.772919,13995,0.04813565,1868,1760,actions:landing_page_view,0.13296526,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Facebook Reels",In-app,Other,inactive,10,Daily,0.010003,"7-day click or 1-day view",10.002516,1,0,0,0,,,,,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Ads on Reels",In-app,"Android Smartphone",inactive,10,Daily,0.070018,"7-day click or 1-day view",0.393357,178,1.589286,112,0,,,,,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Ads on Reels",In-app,"Android Tablet",inactive,10,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Ads on Reels",In-app,iPhone,inactive,10,Daily,9.902491,"7-day click or 1-day view",1.718884,5761,1.434155,4017,0.01024128,59,35,actions:landing_page_view,0.2829283,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Ads on Reels",In-app,Other,inactive,10,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Facebook Stories",In-app,"Android Smartphone",inactive,10,Daily,0.980247,"7-day click or 1-day view",8.523883,115,1.026786,112,0.03478261,4,4,actions:landing_page_view,0.24506164,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,"Facebook Stories",In-app,iPhone,inactive,10,Daily,7.561902,"7-day click or 1-day view",7.951527,951,1.382267,688,0.03785489,36,26,actions:landing_page_view,0.29084238,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,Feed,Desktop,Desktop,inactive,10,Daily,0.08002,"7-day click or 1-day view",5.715723,14,1.75,8,0.07142857,1,,,,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,Feed,In-app,"Android Smartphone",inactive,10,Daily,23.605937,"7-day click or 1-day view",5.861916,4027,2.054592,1960,0.05810777,234,193,actions:landing_page_view,0.12231055,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,Feed,In-app,"Android Tablet",inactive,10,Daily,0.030008,"7-day click or 1-day view",4.286792,7,0,0,0,,,,,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,Feed,In-app,iPad,inactive,10,Daily,0.540136,"7-day click or 1-day view",6.924819,78,1.625,48,0.05128205,4,4,actions:landing_page_view,0.13503396,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,Feed,In-app,iPhone,inactive,10,Daily,87.461997,"7-day click or 1-day view",5.527523,15823,2.168425,7297,0.03564432,564,583,actions:landing_page_view,0.15002058,2025-10-26
2025-04-01,2025-09-17,US-Columbus-SignUp-EN-OCT2025-Target,Facebook,Feed,In-app,Other,inactive,10,Daily,0.030008,"7-day click or 1-day view",15.003774,2,0,0,0,,,,,2025-10-26
