"Reporting starts","Reporting ends","Campaign name","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-09-22,2025-09-22,"IG_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_F3_EN_Feed_9-18-25 -4th",active,"Using ad set budget",0,68.31,"7-day click or 1-day view",7.048081,9692,1.178359,8225,0.02548494,247,296,actions:offsite_conversion.fb_pixel_add_to_cart,0.23077703,Ongoing
2025-09-22,2025-09-22,"FB_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_F3_EN_Feed_9-18-25 -4th",active,"Using ad set budget",0,33.52,"7-day click or 1-day view",6.017953,5570,1.159209,4805,0.02333932,130,141,actions:offsite_conversion.fb_pixel_add_to_cart,0.2377305,Ongoing
2025-09-22,2025-09-22,"FB_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_AddtoCart_EN_Feed_8-31-25 -4th",active,"Using ad set budget",0,28.36,"7-day click or 1-day view",5.526111,5132,1.169553,4388,0.01831645,94,133,actions:offsite_conversion.fb_pixel_add_to_cart,0.21323308,Ongoing
2025-09-22,2025-09-22,IG_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_AddtoCart_EN_Feed_8-31-25-4th,not_delivering,"Using ad set budget",0,21.16,"7-day click, 1-day view, or 1-day engaged-view",6.858995,3085,1.096304,2814,0.02495948,77,113,actions:offsite_conversion.fb_pixel_add_to_cart,0.18725664,Ongoing
2025-09-22,2025-09-22,IG_US_WASH_WDC_0927_9PM_3S_C25_M/W_CONV_AddtoCart_EN_Feed_8-15-25,inactive,40,Daily,0,-,0,0,0,0,,,,,,Ongoing
2025-09-22,2025-09-22,FB_US_WASH_WDC_0927_9PM_S3_C25_M/W_CONV_AddtoCart_EN_Feed_8-15-25,inactive,40,Daily,0,-,0,0,0,0,,,,,,Ongoing
2025-09-22,2025-09-22,FB_US_WASH_WDC_0927_9PM_S3_C25_M/W_CONV_AddtoCart_EN_Feed_7-29-25,inactive,40,Daily,0,-,0,0,0,0,,,,,,Ongoing
2025-09-22,2025-09-22,IG_US_WASH_WDC_0927_9PM_S3_C25_M/W_CONV_AddtoCart_EN_Feed_7-29-25,inactive,40,Daily,0,-,0,0,0,0,,,,,,Ongoing
2025-09-22,2025-09-22,IG_US_WASH_WDC_0928_7PM_S2_C25_W_LPViews_EN_Feed_7-9-25,inactive,40,Daily,0,-,0,0,0,0,,,,,,2025-07-31
2025-09-22,2025-09-22,FB_US_WASH_WDC_0928_7PM_S2_C25_MW_LPViews_EN_Feed_7-9-25,inactive,40,Daily,0,-,0,0,0,0,,,,,,2025-07-31
2025-09-22,2025-09-22,FB_US_WASH_WDC_0927_6PM_S1_C25_MW_LPViews_EN_Feed_7-7-25,inactive,20,Daily,0,-,0,0,0,0,,,,,,2025-07-31
2025-09-22,2025-09-22,IG_US_WASH_WDC_0927_6PM_S1_C25_W_LPViews_EN_Feed_7-7-25,inactive,20,Daily,0,-,0,0,0,0,,,,,,Ongoing
2025-09-22,2025-09-22,IG_US_WASH_WDC_0927_6PM_S1_C25_M_LPViews_EN_Feed_7-7-25,inactive,10,Daily,0,-,0,0,0,0,,,,,,Ongoing
2025-09-22,2025-09-22,IG_US_WASH_WDC_0927_6PM_S1_C25_W_AddToCart_EN_Feed_7-7-25,inactive,10,Daily,0,-,0,0,0,0,,,,,,2025-07-31
2025-09-22,2025-09-22,IG_US_WASH_WDC_0927_6PM_S1_C25_M_AddToCart_EN_Feed_7-7-25,inactive,10,Daily,0,-,0,0,0,0,,,,,,2025-07-31
2025-09-22,2025-09-22,FB_US_WASH_WDC_0927_6PM_S1_C25_W_AddToCart_EN_Feed_7-4-25,inactive,10,Daily,0,-,0,0,0,0,,,,,,2025-07-31
2025-09-22,2025-09-22,FB_US_WASH_WDC_0927_6PM_S1_C25_M_AddToCart_EN_Feed_7-3-25,inactive,10,Daily,0,-,0,0,0,0,,,,,,2025-07-31
2025-09-21,2025-09-21,"IG_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_F3_EN_Feed_9-18-25 -4th",active,"Using ad set budget",0,70.92,"7-day click or 1-day view",7.056716,10050,1.186541,8470,0.02338308,235,319,actions:offsite_conversion.fb_pixel_add_to_cart,0.22231975,Ongoing
2025-09-21,2025-09-21,"FB_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_F3_EN_Feed_9-18-25 -4th",active,"Using ad set budget",0,35.54,"7-day click or 1-day view",6.30701,5635,1.170058,4816,0.02626442,148,163,actions:offsite_conversion.fb_pixel_add_to_cart,0.21803681,Ongoing
2025-09-21,2025-09-21,"FB_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_AddtoCart_EN_Feed_8-31-25 -4th",active,"Using ad set budget",0,28.28,"7-day click or 1-day view",5.564738,5082,1.176661,4319,0.01751279,89,125,actions:offsite_conversion.fb_pixel_add_to_cart,0.22624,Ongoing
2025-09-21,2025-09-21,IG_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_AddtoCart_EN_Feed_8-31-25-4th,not_delivering,"Using ad set budget",0,21.41,"7-day click, 1-day view, or 1-day engaged-view",6.967133,3073,1.027416,2991,0.02798568,86,129,actions:offsite_conversion.fb_pixel_add_to_cart,0.16596899,Ongoing
2025-09-21,2025-09-21,IG_US_WASH_WDC_0927_9PM_3S_C25_M/W_CONV_AddtoCart_EN_Feed_8-15-25,inactive,40,Daily,0,-,0,0,0,0,,,,,,Ongoing
2025-09-21,2025-09-21,FB_US_WASH_WDC_0927_9PM_S3_C25_M/W_CONV_AddtoCart_EN_Feed_8-15-25,inactive,40,Daily,0,-,0,0,0,0,,,,,,Ongoing
