"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-09-22,2025-09-22,"IG_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_F3_EN_Feed_9-18-25 -4th",Instagram,"Instagram Stories","Mobile web",iPhone,active,"Using ad set budget",0,0,"7-day click or 1-day view",0,2,0,0,0,,,,,Ongoing
2025-09-22,2025-09-22,"IG_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_F3_EN_Feed_9-18-25 -4th",Instagram,"Instagram Stories","Mobile web","Android Smartphone",active,"Using ad set budget",0,0.009987,"7-day click or 1-day view",9.986842,1,1,1,0,,,,,Ongoing
2025-09-22,2025-09-22,"IG_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_F3_EN_Feed_9-18-25 -4th",Instagram,"Instagram Stories",In-app,iPhone,active,"Using ad set budget",0,28.302711,"7-day click or 1-day view",7.883763,3590,1.122928,3197,0.02896936,104,123,actions:offsite_conversion.fb_pixel_add_to_cart,0.23010334,Ongoing
2025-09-22,2025-09-22,"IG_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_F3_EN_Feed_9-18-25 -4th",Instagram,"Instagram Stories",In-app,iPad,active,"Using ad set budget",0,0.019974,"7-day click or 1-day view",3.994737,5,1,5,0,,,,,Ongoing
2025-09-22,2025-09-22,"IG_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_F3_EN_Feed_9-18-25 -4th",Instagram,"Instagram Stories",In-app,"Android Smartphone",active,"Using ad set budget",0,2.906171,"7-day click or 1-day view",8.186397,355,1.095679,324,0.03661972,13,19,actions:offsite_conversion.fb_pixel_add_to_cart,0.15295637,Ongoing
2025-09-22,2025-09-22,"IG_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_F3_EN_Feed_9-18-25 -4th",Instagram,"Instagram Stories",Desktop,Desktop,active,"Using ad set budget",0,0.019974,"7-day click or 1-day view",9.986842,2,1,2,0,,,,,Ongoing
2025-09-22,2025-09-22,"IG_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_F3_EN_Feed_9-18-25 -4th",Instagram,"Instagram Reels",In-app,iPhone,active,"Using ad set budget",0,18.245961,"7-day click or 1-day view",6.021769,3030,1.042312,2907,0.01947195,59,75,actions:offsite_conversion.fb_pixel_add_to_cart,0.24327947,Ongoing
2025-09-22,2025-09-22,"IG_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_F3_EN_Feed_9-18-25 -4th",Instagram,"Instagram Reels",In-app,iPad,active,"Using ad set budget",0,0.049934,"7-day click or 1-day view",4.993421,10,1,10,0,,,,,Ongoing
2025-09-22,2025-09-22,"IG_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_F3_EN_Feed_9-18-25 -4th",Instagram,"Instagram Reels",In-app,"Android Tablet",active,"Using ad set budget",0,0.009987,"7-day click or 1-day view",9.986842,1,1,1,0,,,,,Ongoing
2025-09-22,2025-09-22,"IG_US_Wash_WDC_0928_4PM_S4_C25_M/W_CONV_F3_EN_Feed_9-18-25 -4th",Instagram,"Instagram Reels",In-app,"Android Smartphone",active,"Using ad set budget",0,2.376868,"7-day click or 1-day view",6.406653,371,1.06,350,0.0296496,11,12,actions:offsite_conversion.fb_pixel_add_to_cart,0.19807237,Ongoing
