"Campaign name","Ad Set Name","Ad name",Placement,"Delivery status","Delivery level","Ad Set Name","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks","Landing page views rate per link clicks","Result type",Results,"Cost per result","Adds to cart","Reporting starts","Reporting ends"
FB_CA_Edmonton_SEP12_7PM_C25_M/W_LPView_EN_Feed_7-8-25,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,"CRS_EN_Edmonton_SEP12_7PM_PissGuy_7-8-25 - Copy",Feed,inactive,ad,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,258.7999504,"7-day click or 1-day view",4.32139912,59888,1.56836454,38185,0.08115148,4860,,"Landing page views",4394,0.05889849,124,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W_LPView_EN_Feed_7-8-25,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,Video_EN_Edmonton_SEP12_7PM_PissGuy_7-8-25,Feed,inactive,ad,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,216.33,"7-day click or 1-day view",4.28919819,50436,1.61902928,31152,0.07470854,3768,,"Landing page views",2680,0.08072015,117,2025-04-01,2025-09-17
FB_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-22-25,Flyer_EN_Edmonton_SEP14_7PM_Flyer_8-22-2025,Feed,not_delivering,ad,FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-22-25,202.8120388,"7-day click or 1-day view",5.89655586,34395,1.63218336,21073,0.02183457,751,,"Website adds to cart",640,0.31689381,640,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,Flyer_EN_Edmonton_SEP14_7PM_Flyer_8-3-2025,Feed,not_delivering,ad,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,196.76006754,"7-day click, 1-day view, or 1-day engaged-view",10.34599156,19018,1.55059111,12265,0.01656326,315,,"Website adds to cart",271,0.72605191,271,2025-04-01,2025-09-17
FB_CA_Edmonton_SEP12_7PM_C25_M/W_LPView_EN_Feed_7-8-25,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,Video_EN_Edmonton_SEP12_7PM_NotADoctor_7-25-25,Feed,not_delivering,ad,MW_30-50_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,169.83,"7-day click or 1-day view",4.58120903,37071,1.75925399,21072,0.07755388,2875,,"Landing page views",1873,0.09067272,,2025-04-01,2025-09-17
CA-Edmonton-Traffic-SEP2025-Target,Targeted,"T-CRS - Piss Guy",Feed,not_delivering,ad,Targeted,164.24,"7-day click or 1-day view",4.67042029,35166,1.37442351,25586,0.09759427,3432,,"Landing page views",3194,0.05142142,90,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W_LPView_EN_Feed_7-8-25,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,Video_EN_Edmonton_SEP12_7PM_NotADoctor_7-25-25,Feed,not_delivering,ad,MW_21-45_EN_Feed_SEP12_Edmonton_7PM_Comedy+Events+Max+Media_7-8-25,153.71,"7-day click or 1-day view",4.57879059,33570,1.50944245,22240,0.07456062,2503,,"Landing page views",1363,0.11277329,,2025-04-01,2025-09-17
FB_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-22-25,Flyer_EN_Edmonton_SEP14_7PM_Flyer_8-22-2025,"Facebook Reels",not_delivering,ad,FB_MW_30-50_EN_Feed_SEP12_Edmonton_7PM_LPView+VideoViews_8-22-25,98.90562441,"7-day click or 1-day view",4.66557972,21199,1.57064533,13497,0.03160526,670,,"Website adds to cart",601,0.16456843,601,2025-04-01,2025-09-17
IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,Flyer_EN_Edmonton_SEP14_7PM_Flyer_8-3-2025,"Instagram Stories",not_delivering,ad,IG_MW_24-50_EN_Feed_SEP12_Edmonton_7PM_FBIGEngagement_8-3-2025,97.38498286,"7-day click, 1-day view, or 1-day engaged-view",7.22172657,13485,1.46943446,9177,0.02106044,284,,"Website adds to cart",317,0.30720815,317,2025-04-01,2025-09-17
CA-Edmonton-Traffic-SEP2025-Interest,Interest,"I-CRS - Big",Feed,not_delivering,ad,Interest,95.43,"7-day click or 1-day view",4.30601931,22162,1.35597161,16344,0.09963,2208,,"Landing page views",2079,0.04590188,32,2025-04-01,2025-09-17
