"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,"Audience Network","Native, banner & interstitial",In-app,"Android Smartphone",inactive,10,Daily,0.030008,"7-day click or 1-day view",0.968011,31,7.75,4,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Facebook,"Facebook Notifications",In-app,"Android Smartphone",inactive,10,Daily,0.410114,"7-day click or 1-day view",9.53754,43,1,43,0.02325581,1,,,,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Facebook,"Facebook Notifications",In-app,iPhone,inactive,10,Daily,1.900529,"7-day click or 1-day view",5.430084,350,1.41129,248,0.03714286,13,9,actions:landing_page_view,0.21116991,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,10,Daily,0.100028,"7-day click or 1-day view",3.449236,29,1.208333,24,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Facebook,"Facebook profile feed",In-app,iPhone,inactive,10,Daily,0.170047,"7-day click or 1-day view",2.429248,70,1.166667,60,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,10,Daily,25.717161,"7-day click or 1-day view",6.112945,4207,2.182054,1928,0.05514618,232,189,actions:landing_page_view,0.13606964,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Facebook,"Facebook Reels",In-app,"Android Tablet",inactive,10,Daily,0.030008,"7-day click or 1-day view",3.751045,8,2,4,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Facebook,"Facebook Reels",In-app,iPad,inactive,10,Daily,0.260072,"7-day click or 1-day view",6.668524,39,3.25,12,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Facebook,"Facebook Reels",In-app,iPhone,inactive,10,Daily,107.379901,"7-day click or 1-day view",5.750236,18674,2.299187,8122,0.05328264,995,948,actions:landing_page_view,0.11326994,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Facebook,"Facebook Reels",In-app,Other,inactive,10,Daily,0.030008,"7-day click or 1-day view",0.833565,36,9,4,0.02777778,1,1,actions:landing_page_view,0.03000836,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Facebook,"Ads on Reels",In-app,"Android Smartphone",inactive,10,Daily,0.120033,"7-day click or 1-day view",0.638476,188,1.27027,148,0.00531915,1,1,actions:landing_page_view,0.12003343,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Facebook,"Ads on Reels",In-app,iPhone,inactive,10,Daily,1.880524,"7-day click or 1-day view",1.061843,1771,1.586918,1116,0.00846979,15,10,actions:landing_page_view,0.18805237,2025-09-05
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,Facebook,"Facebook Stories",In-app,"Android Smartphone",inactive,10,Daily,0.420117,"7-day click or 1-day view",8.573816,49,1.225,40,0.04081633,2,2,actions:landing_page_view,0.21005849,2025-09-05
