"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,"00:00:00 - 00:59:59",inactive,25,Daily,22.6,"7-day click or 1-day view",6.746269,3350,1.119278,2993,0.08149254,273,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-1-25,"00:00:00 - 00:59:59",inactive,25,Daily,27.861035,"7-day click or 1-day view",8.156041,3416,1.078283,3168,0.05884075,201,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-24-25,"00:00:00 - 00:59:59",inactive,25,Daily,1.27,"7-day click or 1-day view",8.581081,148,1.042254,142,0.05405405,8,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-24-25,"00:00:00 - 00:59:59",inactive,25,Daily,2.49,"7-day click or 1-day view",8.798587,283,1.040441,272,0.0459364,13,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"00:00:00 - 00:59:59",inactive,25,Daily,17.25,"7-day click or 1-day view",8.965696,1924,1.209302,1591,0.03430353,66,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_7-30-25,"00:00:00 - 00:59:59",inactive,25,Daily,17.36,"7-day click, 1-day view, or 1-day engaged-view",9.283422,1870,1.16802,1601,0.01069519,20,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"00:00:00 - 00:59:59",inactive,42,Daily,47.787908,"7-day click, 1-day view, or 1-day engaged-view",19.323861,2473,1.14863,2153,0.00646987,16,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP27_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"00:00:00 - 00:59:59",inactive,43,Daily,42.16315,"7-day click or 1-day view",16.71814,2522,1.137573,2217,0.0222046,56,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,"01:00:00 - 01:59:59",inactive,25,Daily,10.08,"7-day click or 1-day view",6.644693,1517,1.086676,1396,0.08965063,136,,,,Ongoing
2025-04-01,2025-09-17,IG_US_PDX_SEP6_7PM_C25_M/W_LPView_EN_Feed_7-1-25,"01:00:00 - 01:59:59",inactive,25,Daily,12.150451,"7-day click or 1-day view",7.844062,1549,1.084734,1428,0.04906391,76,,,,Ongoing
