"Campaign name","Ad Set Name","Ad name",Placement,"Delivery status","Delivery level","Ad Set Name","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks","Landing page views rate per link clicks","Result type",Results,"Cost per result","Adds to cart","Reporting starts","Reporting ends"
"US-LA-Traffic-May2025- Black - Support",Interest-Black,"Black-CRS - Big",Feed,not_delivering,ad,Interest-Black,653.6699743,"7-day click or 1-day view",7.43144582,87960,1.3193934,66667,0.09602092,8446,,"Landing page views",7972,0.08199573,,2025-04-01,2025-09-17
"US-Fresno-Traffic-MAY2025-Target - Support3",Targeted,"T-CRS - Mexican BF",Feed,not_delivering,ad,Targeted,620.14,"7-day click or 1-day view",8.7325213,71015,1.5486523,45856,0.1137647,8079,,"Landing page views",7483,0.08287318,28,2025-04-01,2025-09-17
"US-Fresno-Traffic-MAY2025-Interest - Support3",Interest,"I-CRS - Mexican BF",Feed,not_delivering,ad,Interest,605.67001517,"7-day click or 1-day view",8.64255159,70080,1.61956044,43271,0.11555365,8098,,"Landing page views",7508,0.08066995,31,2025-04-01,2025-09-17
"IT-Rome-Traffic-EN-MAY2025-Target - Support2","Targeted - PagevIews","T-CRS - Jew Muslim",Feed,not_delivering,ad,"Targeted - PagevIews",511.60997718,"7-day click or 1-day view",2.12075102,241240,1.37764047,175111,0.07798043,18812,,"Landing page views",15044,0.03400758,34,2025-04-01,2025-09-17
"US-SF-Traffic-MAY2025-Target - 2nd - Support",Targeted,"T-CRS - Big",Feed,not_delivering,ad,Targeted,486.22,"7-day click or 1-day view",7.8208139,62170,1.33523765,46561,0.11431559,7107,,"Landing page views",6711,0.0724512,,2025-04-01,2025-09-17
"TR-Istanbul-EN-Traffic-MAY2025-Interest - 2ND - Support",Interest,"I-Video-Indian Columbian",Feed,not_delivering,ad,Interest,460.54922963,"7-day click or 1-day view",0.69332154,664265,1.71638494,387014,0.09127682,60632,,"Landing page views",43483,0.01059148,32,2025-04-01,2025-09-17
"US-SanJose-Traffic-May2025-Interest - 2nd - Support2",Interest,"I-CRS - Shady Friends",Feed,not_delivering,ad,Interest,445.30959955,"7-day click or 1-day view",8.81312539,50528,1.60065892,31567,0.13845788,6996,,"Landing page views",6528,0.06821532,,2025-04-01,2025-09-17
"US-LA-Traffic-May2025- Black - Support",Interest-Black,"Black-CRS - Sergeant",Feed,not_delivering,ad,Interest-Black,426.16999695,"7-day click or 1-day view",8.16605344,52188,1.41102039,36986,0.12157967,6345,,"Landing page views",5944,0.07169751,,2025-04-01,2025-09-17
"SE-Stockholm-EN-Traffic-MAY2025-Interest - 2nd - Support",Interest,"I-CRS - Job Interview",Feed,not_delivering,ad,Interest,415.21904643,"7-day click or 1-day view",4.93532837,84132,1.38646364,60681,0.08579375,7218,,"Landing page views",6571,0.06318963,,2025-04-01,2025-09-17
"SE-Gothenburg-FA-Traffic-JUN2025-Interest - Support2",Interest,"I-CRS - Testosterone",Feed,not_delivering,ad,Interest,409.10948326,"7-day click or 1-day view",6.48268814,63108,1.82298226,34618,0.0559517,3531,,"Landing page views",3231,0.12662008,17,2025-04-01,2025-09-17
"US-Phoenix-Traffic-Apr2025-Target - Support2",Targeted,"T-CRS - Father Love",Feed,not_delivering,ad,Targeted,400.3,"7-day click or 1-day view",7.95714314,50307,1.46377444,34368,0.11541137,5806,,"Landing page views",5452,0.0734226,22,2025-04-01,2025-09-17
"IT-Rome-Traffic-EN-MAY2025-Target - Support2","Targeted - List","T-CRS - Jew Muslim",Feed,not_delivering,ad,"Targeted - List",352.73999858,"7-day click or 1-day view",1.59561041,221069,1.39971128,157939,0.07408999,16379,,"Landing page views",13143,0.02683862,18,2025-04-01,2025-09-17
"US-SF-Traffic-MAY2025-Interest - 2nd - Support",Interest,"I-CRS - Sergeant",Feed,not_delivering,ad,Interest,349.42,"7-day click or 1-day view",8.76222479,39878,1.37895501,28919,0.14298611,5702,,"Landing page views",5300,0.0659283,2,2025-04-01,2025-09-17
"US-SF-Traffic-MAY2025-Target - 2nd - Support",Targeted,"T-CRS - Sergeant",Feed,not_delivering,ad,Targeted,346.39003918,"7-day click or 1-day view",8.40079643,41233,1.49221917,27632,0.13637135,5623,,"Landing page views",5280,0.06560417,,2025-04-01,2025-09-17
"US-Phoenix-Traffic-Apr2025-Interest - Support2",Interest,"I-CRS - Big",Feed,not_delivering,ad,Interest,322.27,"7-day click or 1-day view",7.32448465,43999,1.34966258,32600,0.13325303,5863,,"Landing page views",5487,0.05873337,13,2025-04-01,2025-09-17
"SE-Gothenburg-Traffic-EN-JUN2025-Target - Support",Targeted,"T-CRS - Shady Friends",Feed,not_delivering,ad,Targeted,310.9390613,"7-day click or 1-day view",5.87486654,52927,2.12823194,24869,0.09448864,5001,,"Landing page views",4512,0.0689138,,2025-04-01,2025-09-17
"CA-Vancouver-Traffic-June2025-Interest - 2nd - Support5",Interest,"I-CRS - Father Love",Feed,not_delivering,ad,Interest,308.05956679,"7-day click or 1-day view",5.44534613,56573,1.31159437,43133,0.06317501,3574,,"Landing page views",3255,0.09464196,55,2025-04-01,2025-09-17
"SE-Stockholm-FA-Traffic-MAY2025-Interest - Support",Interest,"I-CRS - Khanum Rossi",Feed,not_delivering,ad,Interest,302.03766599,"7-day click or 1-day view",6.18878916,48804,1.61886755,30147,0.08677567,4235,,"Landing page views",3837,0.07871714,,2025-04-01,2025-09-17
