"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,"00:00:00 - 00:59:59",inactive,20,Daily,18.654677,"7-day click or 1-day view",5.73637,3252,1.148305,2832,0.05627306,183,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,"00:00:00 - 00:59:59",inactive,20,Daily,2.513864,"7-day click or 1-day view",6.944374,362,1.074184,337,0.11325967,41,,,,2025-11-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,1.744988,"7-day click or 1-day view",1.13606,1536,1.01992,1506,0.00130208,2,1506,reach,1.15869061,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,2.023304,"7-day click or 1-day view",2.114215,957,1.012698,945,0.00104493,1,945,reach,2.14106232,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,1.813641,"7-day click or 1-day view",2.25297,805,1.018987,790,0.00124224,1,790,reach,2.29574841,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_M_AW_EN_Feed_6-28-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,1.204799,"7-day click or 1-day view",0.821827,1466,1.122511,1306,0.00068213,1,1306,reach,0.92251067,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_SMF_1108_8PM_C25_MW_LPView_EN_Feed_7-8-25,"00:00:00 - 00:59:59",active,10,Daily,50.656403,"7-day click or 1-day view",8.120616,6238,1.121136,5564,0.05530619,345,,,,Ongoing
2025-04-01,2025-09-17,IG_US-Sacramento_SMF_1108_8PM_C25_M/W_LPView_EN_Feed_7-8-25,"00:00:00 - 00:59:59",active,"Using ad set budget",0,53.572238,"7-day click or 1-day view",8.788097,6096,1.123894,5424,0.03937008,240,,,,Ongoing
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,"01:00:00 - 01:59:59",inactive,20,Daily,6.451617,"7-day click or 1-day view",5.552166,1162,1.031056,1127,0.07659208,89,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Target,"01:00:00 - 01:59:59",inactive,20,Daily,1.612478,"7-day click or 1-day view",6.746771,239,1.048246,228,0.11297071,27,,,,2025-11-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_W_AW_EN_Feed_6-28-25,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,0.992838,"7-day click or 1-day view",0.958338,1036,1.090526,950,0.0019305,2,950,reach,1.04509266,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_W_AW_EN_Feed_6-28-25,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,0.871423,"7-day click or 1-day view",2.482687,351,1.005731,349,0,,349,reach,2.49691394,2025-07-08
2025-04-01,2025-09-17,IG_US_Sacramento_Nov8_8PM_C25_M_AW_EN_Feed_6-28-25,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,0.591187,"7-day click or 1-day view",1.853251,319,1,319,0,,319,reach,1.85325054,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_NOV8_8PM_C25_M_AW_EN_Feed_6-28-25,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,1.285119,"7-day click or 1-day view",0.80876,1589,1.177037,1350,0.00062933,1,1350,reach,0.9519399,2025-07-08
2025-04-01,2025-09-17,FB_US_Sacramento_SMF_1108_8PM_C25_MW_LPView_EN_Feed_7-8-25,"01:00:00 - 01:59:59",active,10,Daily,13.619033,"7-day click or 1-day view",6.755473,2016,1.094463,1842,0.07936508,160,,,,Ongoing
