"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"Facebook Notifications",In-app,"Android Smartphone",inactive,20,Daily,0.12003,"7-day click or 1-day view",6.668338,18,1.125,16,0.05555556,1,1,actions:landing_page_view,0.12003009,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"Facebook Notifications",In-app,iPhone,inactive,20,Daily,1.200301,"7-day click or 1-day view",4.839923,248,1.107143,224,0.03629032,9,7,actions:landing_page_view,0.17147156,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,20,Daily,0.020005,"7-day click or 1-day view",1.818638,11,0,0,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"Facebook profile feed",In-app,iPad,inactive,20,Daily,0.010003,"7-day click or 1-day view",3.334169,3,0,0,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"Facebook profile feed",In-app,iPhone,inactive,20,Daily,0.110028,"7-day click or 1-day view",3.438362,32,1.333333,24,0.03125,1,1,actions:landing_page_view,0.11002758,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,20,Daily,11.952996,"7-day click or 1-day view",5.865062,2038,1.602201,1272,0.05397448,110,89,actions:landing_page_view,0.13430333,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"Facebook Reels",In-app,"Android Tablet",inactive,20,Daily,0.050013,"7-day click or 1-day view",3.847118,13,0,0,0.15384615,2,2,actions:landing_page_view,0.02500627,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"Facebook Reels",In-app,iPad,inactive,20,Daily,0.410103,"7-day click or 1-day view",7.456415,55,2.291667,24,0.03636364,2,2,actions:landing_page_view,0.2050514,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"Facebook Reels",In-app,iPhone,inactive,20,Daily,68.207099,"7-day click or 1-day view",5.346641,12757,1.729059,7378,0.04491652,573,548,actions:landing_page_view,0.12446551,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"Facebook Reels",In-app,Other,inactive,20,Daily,0.010003,"7-day click or 1-day view",10.002508,1,0,0,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"Ads on Reels",In-app,"Android Smartphone",inactive,20,Daily,0.08002,"7-day click or 1-day view",0.941412,85,3.541667,24,0.01176471,1,1,actions:landing_page_view,0.08002006,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"Ads on Reels",In-app,iPhone,inactive,20,Daily,0.790198,"7-day click or 1-day view",1.334794,592,1.947368,304,0.01013514,6,4,actions:landing_page_view,0.19754952,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"Facebook Stories",In-app,"Android Smartphone",inactive,20,Daily,0.460115,"7-day click or 1-day view",6.971445,66,1.03125,64,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"Facebook Stories",In-app,iPhone,inactive,20,Daily,2.580647,"7-day click or 1-day view",5.932522,435,1.430921,304,0.04367816,19,16,actions:landing_page_view,0.16129043,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,Feed,Desktop,Desktop,inactive,20,Daily,0.020005,"7-day click or 1-day view",4.001003,5,0,0,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,Feed,In-app,"Android Smartphone",inactive,20,Daily,25.956507,"7-day click or 1-day view",5.979384,4341,1.619172,2681,0.08615526,374,308,actions:landing_page_view,0.08427437,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,Feed,In-app,"Android Tablet",inactive,20,Daily,0.090023,"7-day click or 1-day view",6.924813,13,1,13,0.07692308,1,1,actions:landing_page_view,0.09002257,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,Feed,In-app,iPad,inactive,20,Daily,4.281073,"7-day click or 1-day view",7.769643,551,1.530556,360,0.07985481,44,38,actions:landing_page_view,0.11265982,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,Feed,In-app,iPhone,inactive,20,Daily,151.598004,"7-day click or 1-day view",5.988939,25313,1.575367,16068,0.07201833,1823,1704,actions:landing_page_view,0.08896596,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,Feed,In-app,Other,inactive,20,Daily,0.050013,"7-day click or 1-day view",8.335423,6,0,0,0,,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,Feed,"Mobile web","Android Smartphone",inactive,20,Daily,0.310078,"7-day click or 1-day view",4.07997,76,1.9,40,0.03947368,3,3,actions:landing_page_view,0.10335924,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,Feed,"Mobile web",iPad,inactive,20,Daily,0.04001,"7-day click or 1-day view",5.715719,7,0,0,0.14285714,1,1,actions:landing_page_view,0.04001003,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,Feed,"Mobile web",iPhone,inactive,20,Daily,0.980246,"7-day click or 1-day view",4.876844,201,1.092391,184,0.02487562,5,2,actions:landing_page_view,0.49012287,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"In-stream reels",In-app,"Android Smartphone",inactive,20,Daily,0,"7-day click or 1-day view",0,34,0,0,0.02941176,1,,,,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,"In-stream reels",In-app,iPhone,inactive,20,Daily,0.140035,"7-day click or 1-day view",0.809451,173,1.965909,88,0.01156069,2,2,actions:landing_page_view,0.07001755,2025-11-08
2025-04-01,2025-09-17,US-Sacramento-Traffic-NOV2025-Interest,Facebook,Marketplace,In-app,"Android Smartphone",inactive,20,Daily,0.010003,"7-day click or 1-day view",1.250313,8,1,8,0,,,,,2025-11-08
