"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",3,actions:onsite_conversion.lead_grouped,728,797,3.32,9.96,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",5,actions:onsite_conversion.lead_grouped,900,1024,3.44861705,17.243085,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","00:00:00 - 00:59:59",inactive,50,Daily,"7-day click or 1-day view",,,1825,2213,,11.573845,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,1598,1928,,23.218945,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",1,actions:onsite_conversion.lead_grouped,375,425,5.57,5.57,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",5,actions:onsite_conversion.lead_grouped,401,452,1.56628025,7.831401,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","01:00:00 - 01:59:59",inactive,50,Daily,"7-day click or 1-day view",,,1159,1396,,7.092356,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,743,830,,10.270687,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"02:00:00 - 02:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",1,actions:onsite_conversion.lead_grouped,206,218,2.75,2.75,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"02:00:00 - 02:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",3,actions:onsite_conversion.lead_grouped,223,244,1.37691303,4.130739,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","02:00:00 - 02:59:59",inactive,50,Daily,"7-day click or 1-day view",,,786,924,,4.251412,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"02:00:00 - 02:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,439,493,,5.924628,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"03:00:00 - 03:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",1,actions:onsite_conversion.lead_grouped,159,175,2.14,2.14,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"03:00:00 - 03:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",1,actions:onsite_conversion.lead_grouped,142,156,2.54045456,2.540455,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","03:00:00 - 03:59:59",inactive,50,Daily,"7-day click or 1-day view",,,587,671,,3.13104,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"03:00:00 - 03:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,273,303,,2.907364,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"04:00:00 - 04:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",2,actions:onsite_conversion.lead_grouped,242,266,1.805,3.61,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"04:00:00 - 04:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",1,actions:onsite_conversion.lead_grouped,130,134,2.0203615,2.020362,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","04:00:00 - 04:59:59",inactive,50,Daily,"7-day click or 1-day view",,,521,579,,2.710901,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"04:00:00 - 04:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,283,304,,4.835615,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"05:00:00 - 05:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",2,actions:onsite_conversion.lead_grouped,366,398,2.96,5.92,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"05:00:00 - 05:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",1,actions:onsite_conversion.lead_grouped,181,187,3.25058162,3.250582,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","05:00:00 - 05:59:59",inactive,50,Daily,"7-day click or 1-day view",,,681,766,,3.49116,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"05:00:00 - 05:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,439,508,,6.074492,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"06:00:00 - 06:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",4,actions:onsite_conversion.lead_grouped,838,932,2.9925,11.97,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"06:00:00 - 06:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",3,actions:onsite_conversion.lead_grouped,454,486,2.83384038,8.501521,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","06:00:00 - 06:59:59",inactive,50,Daily,"7-day click or 1-day view",,,1036,1215,,5.711897,2025-09-03
2025-05-01,2025-09-20,IG_FB_US_LA_SunRose_0920_7PM_25-38_InstantForm,"06:00:00 - 06:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,830,975,,12.079047,Ongoing
2025-05-01,2025-09-20,FB_US_LA_SunRose_0903_7PM_25-38_InstantForm,"07:00:00 - 07:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",4,actions:onsite_conversion.lead_grouped,1085,1205,4.12,16.48,Ongoing
2025-05-01,2025-09-20,IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"07:00:00 - 07:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",4,actions:onsite_conversion.lead_grouped,672,757,3.22057625,12.882305,Ongoing
2025-05-01,2025-09-20,"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","07:00:00 - 07:59:59",inactive,50,Daily,"7-day click or 1-day view",,,1646,1897,,9.42313,2025-09-03
