"Campaign name","Time of day (viewer's time zone)","Ad Set Name","Ad name","Campaign ID","Ad set ID","Ad ID","Delivery status","Delivery level","Ad Set Name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Frequency,"Link clicks","CPC (cost per link click)","CTR (Link)","Clicks (all)","CPM (cost per 1,000 impressions)","CTR (link click-through rate)","Adds to cart","Cost per add to cart","Adds to cart conversion value","Reporting starts","Reporting ends"
,,,,,,,,,,,mixed,,52058,147585,,0,0,0,1538.59,2.83501095,3887,0.39582969,0.02633736,6067,10.42511095,2.63373649,70,21.97985714,,2025-05-01,2025-09-20
"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","22:00:00 - 22:59:59","New Sales Ad Set","Sunset Sales Ad",120231876446710429,120231876446720429,120231876446700429,not_delivering,ad,"New Sales Ad Set","7-day click or 1-day view","Landing page views",,3265,4088,,-,-,-,22.68753645,1.25206738,48,0.47265701,0.01174168,59,5.54978876,1.1741683,,,,2025-05-01,2025-09-20
"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","23:00:00 - 23:59:59","New Sales Ad Set","Sunset Sales Ad",120231876446710429,120231876446720429,120231876446700429,not_delivering,ad,"New Sales Ad Set","7-day click or 1-day view","Landing page views",,2735,3426,,-,-,-,19.76656615,1.25265082,43,0.45968758,0.01255108,51,5.76957564,1.255108,,,,2025-05-01,2025-09-20
"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","21:00:00 - 21:59:59","New Sales Ad Set","Sunset Sales Ad",120231876446710429,120231876446720429,120231876446700429,not_delivering,ad,"New Sales Ad Set","7-day click or 1-day view","Landing page views",,2881,3710,,-,-,-,19.06633354,1.28774731,31,0.61504302,0.0083558,40,5.13917346,0.83557951,,,,2025-05-01,2025-09-20
"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","19:00:00 - 19:59:59","New Sales Ad Set","Sunset Sales Ad",120231876446710429,120231876446720429,120231876446700429,not_delivering,ad,"New Sales Ad Set","7-day click or 1-day view","Landing page views",,2972,3751,,-,-,-,17.73589159,1.26211306,40,0.44339729,0.01066382,49,4.72831021,1.0663823,,,,2025-05-01,2025-09-20
"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","18:00:00 - 18:59:59","New Sales Ad Set","Sunset Sales Ad",120231876446710429,120231876446720429,120231876446700429,not_delivering,ad,"New Sales Ad Set","7-day click or 1-day view","Landing page views",,2766,3471,,-,-,-,17.19571215,1.25488069,45,0.38212694,0.01296456,53,4.95410895,1.29645635,,,,2025-05-01,2025-09-20
"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","20:00:00 - 20:59:59","New Sales Ad Set","Sunset Sales Ad",120231876446710429,120231876446720429,120231876446700429,not_delivering,ad,"New Sales Ad Set","7-day click or 1-day view","Landing page views",,2735,3381,,-,-,-,15.85526687,1.23619744,41,0.38671383,0.01212659,52,4.68951993,1.21265898,,,,2025-05-01,2025-09-20
IG_US_LA_SunRose_0903_7PM_25-38_InstantForm,"22:00:00 - 22:59:59",Asian,"Flyer - Copy",120231404065100429,120231404065090429,120231404065200429,not_delivering,ad,Asian,"7-day click or 1-day view","Meta Leads",4,681,748,3.395,-,-,-,13.58,1.09838473,12,1.13166667,0.01604278,17,18.15508021,1.60427807,,,,2025-05-01,2025-09-20
"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","17:00:00 - 17:59:59","New Sales Ad Set","Sunset Sales Ad",120231876446710429,120231876446720429,120231876446700429,not_delivering,ad,"New Sales Ad Set","7-day click or 1-day view","Landing page views",,2235,2768,,-,-,-,12.40412046,1.23847875,32,0.38762876,0.01156069,35,4.48125739,1.15606936,,,,2025-05-01,2025-09-20
"IG_FB_US_LA_SunRose_0903_7PM_Direct Sale","15:00:00 - 15:59:59","New Sales Ad Set","Sunset Sales Ad",120231876446710429,120231876446720429,120231876446700429,not_delivering,ad,"New Sales Ad Set","7-day click or 1-day view","Landing page views",,2030,2487,,-,-,-,12.204054,1.22512315,25,0.48816216,0.01005227,30,4.90713872,1.00522718,,,,2025-05-01,2025-09-20
