"Campaign name","Time of day (viewer's time zone)","Ad Set Name","Ad name","Campaign ID","Ad set ID","Ad ID","Delivery status","Delivery level","Ad Set Name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Frequency,"Link clicks","CPC (cost per link click)","CTR (Link)","Clicks (all)","CPM (cost per 1,000 impressions)","CTR (link click-through rate)","Adds to cart","Cost per add to cart","Adds to cart conversion value","Reporting starts","Reporting ends"
,,,,,,,,,,,Leads,500,12006,23517,0.51796,0,0,0,258.98,1.95877061,1730,0.14969942,0.0735638,2508,11.01245907,7.35638049,49,5.28530612,,2025-05-01,2025-09-20
IG_FB_US_LA_UpStairs_25-38_InstantForm,"22:00:00 - 22:59:59",LA_UpStairs_25-38_SingleWomanWestHollywood,"LA_UpStairs_25-38_Flyer_SingleWoman - Copy",120232784158330429,120232784158540429,120232784158450429,not_delivering,ad,LA_UpStairs_25-38_SingleWomanWestHollywood,"7-day click or 1-day view","Meta Leads",,306,341,,-,-,-,4.31694472,1.11437908,4,1.07923618,0.01173021,7,12.65966195,1.17302053,,,,2025-05-01,2025-09-20
IG_FB_US_LA_UpStairs_25-38_InstantForm,"21:00:00 - 21:59:59",LA_UpStairs_25-38_SingleWomanWestHollywood,"LA_UpStairs_25-38_Flyer_SingleWoman - Copy",120232784158330429,120232784158540429,120232784158450429,not_delivering,ad,LA_UpStairs_25-38_SingleWomanWestHollywood,"7-day click or 1-day view","Meta Leads",,317,336,,-,-,-,4.12751759,1.05993691,1,4.12751759,0.00297619,1,12.28427854,0.29761905,,,,2025-05-01,2025-09-20
IG_FB_US_LA_UpStairs_25-38_InstantForm,"23:00:00 - 23:59:59",LA_UpStairs_25-38_SingleWomanWestHollywood,"LA_UpStairs_25-38_Flyer_SingleWoman - Copy",120232784158330429,120232784158540429,120232784158450429,not_delivering,ad,LA_UpStairs_25-38_SingleWomanWestHollywood,"7-day click or 1-day view","Meta Leads",2,243,261,1.76964824,-,-,-,3.53929648,1.07407407,6,0.58988275,0.02298851,9,13.56052292,2.29885057,,,,2025-05-01,2025-09-20
IG_FB_US_LA_UpStairs_25-38_InstantForm,"20:00:00 - 20:59:59",LA_UpStairs_25-38_Hispanics_Female,LA_UpStairs_25-38_Flyer_Hispanics_Woman,120232784158330429,120232784158520429,120232784158370429,inactive,ad,LA_UpStairs_25-38_Hispanics_Female,"7-day click or 1-day view","Meta Leads",4,232,246,0.655,-,-,-,2.62,1.06034483,12,0.21833333,0.04878049,20,10.6504065,4.87804878,,,,2025-05-01,2025-09-20
IG_FB_US_LA_UpStairs_25-38_InstantForm,"19:00:00 - 19:59:59",LA_UpStairs_25-38_White,LA_UpStairs_25-38_Flyer_White,120232784158330429,120232784158490429,120232784158400429,inactive,ad,LA_UpStairs_25-38_White,"7-day click or 1-day view","Meta Leads",7,225,234,0.36142857,-,-,-,2.53,1.04,18,0.14055556,0.07692308,28,10.81196581,7.69230769,,,,2025-05-01,2025-09-20
IG_FB_US_LA_UpStairs_25-38_InstantForm,"21:00:00 - 21:59:59",LA_UpStairs_25-38_Asian,LA_UpStairs_25-38_Flyer_Asian,120232784158330429,120232784158530429,120232784158410429,inactive,ad,LA_UpStairs_25-38_Asian,"7-day click or 1-day view","Meta Leads",3,190,205,0.82801909,-,-,-,2.48405728,1.07894737,19,0.13073986,0.09268293,27,12.11735258,9.26829268,,,,2025-05-01,2025-09-20
IG_FB_US_LA_UpStairs_25-38_InstantForm,"19:00:00 - 19:59:59",LA_UpStairs_25-38_Asian,LA_UpStairs_25-38_Flyer_Asian,120232784158330429,120232784158530429,120232784158410429,inactive,ad,LA_UpStairs_25-38_Asian,"7-day click or 1-day view","Meta Leads",3,151,162,0.81804296,-,-,-,2.45412888,1.07284768,14,0.17529492,0.08641975,21,15.14894369,8.64197531,,,,2025-05-01,2025-09-20
IG_FB_US_LA_UpStairs_25-38_InstantForm,"21:00:00 - 21:59:59",LA_UpStairs_25-38_White,LA_UpStairs_25-38_Flyer_White,120232784158330429,120232784158490429,120232784158400429,inactive,ad,LA_UpStairs_25-38_White,"7-day click or 1-day view","Meta Leads",7,193,210,0.34714286,-,-,-,2.43,1.0880829,18,0.135,0.08571429,27,11.57142857,8.57142857,,,,2025-05-01,2025-09-20
IG_FB_US_LA_UpStairs_25-38_InstantForm,"18:00:00 - 18:59:59",LA_UpStairs_25-38_Asian,LA_UpStairs_25-38_Flyer_Asian,120232784158330429,120232784158530429,120232784158410429,inactive,ad,LA_UpStairs_25-38_Asian,"7-day click or 1-day view","Meta Leads",2,175,181,1.19713604,-,-,-,2.39427208,1.03428571,7,0.34203887,0.03867403,13,13.22802252,3.86740331,,,,2025-05-01,2025-09-20
IG_FB_US_LA_UpStairs_25-38_InstantForm,"21:00:00 - 21:59:59",LA_UpStairs_25-38_Hispanics_Female,LA_UpStairs_25-38_Flyer_Hispanics_Woman,120232784158330429,120232784158520429,120232784158370429,inactive,ad,LA_UpStairs_25-38_Hispanics_Female,"7-day click or 1-day view","Meta Leads",4,224,234,0.595,-,-,-,2.38,1.04464286,10,0.238,0.04273504,15,10.17094017,4.27350427,,,,2025-05-01,2025-09-20
IG_FB_US_LA_UpStairs_25-38_InstantForm,"18:00:00 - 18:59:59",LA_UpStairs_25-38_White,LA_UpStairs_25-38_Flyer_White,120232784158330429,120232784158490429,120232784158400429,inactive,ad,LA_UpStairs_25-38_White,"7-day click or 1-day view","Meta Leads",4,193,199,0.5775,-,-,-,2.31,1.03108808,16,0.144375,0.08040201,22,11.6080402,8.04020101,,,,2025-05-01,2025-09-20
IG_FB_US_LA_UpStairs_25-38_InstantForm,"20:00:00 - 20:59:59",LA_UpStairs_25-38_Asian,LA_UpStairs_25-38_Flyer_Asian,120232784158330429,120232784158530429,120232784158410429,inactive,ad,LA_UpStairs_25-38_Asian,"7-day click or 1-day view","Meta Leads",3,175,190,0.76816229,-,-,-,2.30448687,1.08571429,13,0.17726822,0.06842105,20,12.12887828,6.84210526,,,,2025-05-01,2025-09-20
