regex_pattern,mapping_type,mapping_value
(APRI|APR)(_?\d{4})?(_S\d+)?,show,APRI
(AW|AW)(_?\d{4})?(_S\d+)?,show,AW
(BROA|BRO)(_?\d{4})?(_S\d+)?,show,BROA
(FB|FB)(_?\d{4})?(_S\d+)?,show,FB
(IG|IG)(_?\d{4})?(_S\d+)?,show,IG
(INT|INT)(_?\d{4})?(_S\d+)?,show,INT
(LA|LA)(_?\d{4})?(_S\d+)?,show,LA
(MAX|MAX)(_?\d{4})?(_S\d+)?,show,MAX
(MW|MW)(_?\d{4})?(_S\d+)?,show,MW
(Ottawa|OTT)(_?\d{4})?(_S\d+)?,show,Ottawa
(SDG|SDG)(_?\d{4})?(_S\d+)?,show,SDG
(TEST|TES)(_?\d{4})?(_S\d+)?,show,TEST
(Toronto|TOR)(_?\d{4})?(_S\d+)?,show,Toronto
(WM|WM)(_?\d{4})?(_S\d+)?,show,WM
(F1|Fun1|LPViews(_F1|_Fun1)?),funnel,F1
(F2|Fun2|AddToCart(_F2)?),funnel,F2
(F3|Fun3|CONV(_AddtoCart|_F3)?),funnel,F3
.*Interest.*,legacy,Interest
.*Target.*,legacy,Target
