"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Facebook Notifications",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Facebook Notifications",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,0,4,,0.01,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",1,actions:landing_page_view,0,11,0.01,0.01,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Facebook profile feed",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",,,3,3,,0.01,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Facebook profile feed",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,32,33,,0.09,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",709,actions:landing_page_view,5088,8577,0.03956276,28.05,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Facebook Reels",In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",,,14,14,,0.05,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Facebook Reels",In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",2,actions:landing_page_view,48,63,0.115,0.23,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Facebook Reels",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",1216,actions:landing_page_view,11120,17275,0.04339638,52.77,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Ads on Reels",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",,,0,18,,0.01,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Ads on Reels",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",,,0,12,,0,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Facebook Stories",In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",9,actions:landing_page_view,96,119,0.04888889,0.44,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,"Facebook Stories",In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",23,actions:landing_page_view,176,287,0.04217391,0.97,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,Feed,Desktop,Desktop,inactive,20,Daily,"7-day click or 1-day view",2,actions:landing_page_view,0,17,0.015,0.03,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,Feed,In-app,"Android Smartphone",inactive,20,Daily,"7-day click or 1-day view",554,actions:landing_page_view,3968,6039,0.04797834,26.58,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,Feed,In-app,"Android Tablet",inactive,20,Daily,"7-day click or 1-day view",4,actions:landing_page_view,16,51,0.0675,0.27,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,Feed,In-app,iPad,inactive,20,Daily,"7-day click or 1-day view",168,actions:landing_page_view,1584,1917,0.06827381,11.47,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,Feed,In-app,iPhone,inactive,20,Daily,"7-day click or 1-day view",2230,actions:landing_page_view,17968,26914,0.05574439,124.31,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,Facebook,Feed,In-app,iPod,inactive,20,Daily,"7-day click or 1-day view",,,0,1,,0,2025-09-14
