"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,"00:00:00 - 00:59:59",inactive,20,Daily,"7-day click or 1-day view",,,1604,1719,,5.97,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,"00:00:00 - 00:59:59",inactive,20,Daily,"7-day click or 1-day view",,,520,528,,2.840273,2025-09-14
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",2336,reach,2336,2336,1.4273053,3.334185,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_M_AW_EN_Feed_6-25-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",2135,reach,2135,2135,1.34210994,2.865405,2025-07-05
2025-05-01,2025-09-20,FB_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",1625,reach,1625,1685,1.61044294,2.61697,2025-07-05
2025-05-01,2025-09-20,FB_CA_Calgary_Sep14_6PM_C25_M_AW_EN_Feed_6-25-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",2594,reach,2594,2622,1.41313524,3.665673,2025-07-05
2025-05-01,2025-09-20,IG_CA-Calgary_SEP14_7PM_C25_M/W_LPView_EN_Feed_7-8-25,"00:00:00 - 00:59:59",inactive,20,Daily,"7-day click or 1-day view",,,4211,4692,,18.3,2025-07-31
2025-05-01,2025-09-20,FB_CA_Calgary_SEP14_6PM_C25_M/W_LPView_EN_Feed_7-8-25,"00:00:00 - 00:59:59",inactive,20,Daily,"7-day click or 1-day view",,,2418,2572,,10.28,2025-07-31
2025-05-01,2025-09-20,IG_CA-Calgary_SEP14_7PM_C25_M/W_CONV-AddtoCart_EN_Feed_7-26-25,"00:00:00 - 00:59:59",inactive,20,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,4724,5197,,25.03,Ongoing
2025-05-01,2025-09-20,FB_CA_Calgary_SEP14_6PM_C25_M/W_CONVAddtoCart_EN_Feed_7-26-25,"00:00:00 - 00:59:59",inactive,20,Daily,"7-day click or 1-day view",,,2521,2765,,16.35,Ongoing
2025-05-01,2025-09-20,FB_CA_Calgary_SEP14_6PM_C25_M/W_CONVAddtoCart_EN_Feed_8-22-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,511,565,,3.65,Ongoing
2025-05-01,2025-09-20,IG_CA-Calgary_SEP14_7PM_C25_M/W_CONV-AddtoCart_EN_Feed_8-22-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",,,1337,1440,,6.47,Ongoing
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Target,"01:00:00 - 01:59:59",inactive,20,Daily,"7-day click or 1-day view",,,2950,3218,,10.58,2025-09-14
2025-05-01,2025-09-20,CA-Calgary-Traffic-SEP2025-Interest,"01:00:00 - 01:59:59",inactive,20,Daily,"7-day click or 1-day view",,,682,738,,3.360323,2025-09-14
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",2100,reach,2100,2112,1.40652742,2.953708,2025-07-05
2025-05-01,2025-09-20,IG_CA_Calgary_Sep14_6PM_C25_M_AW_EN_Feed_6-25-25,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",2354,reach,2354,2404,1.28109099,3.015688,2025-07-05
2025-05-01,2025-09-20,FB_CA_Calgary_Sep14_6PM_C25_W_AW_EN_Feed_6-25-25,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",2163,reach,2163,2232,1.39530187,3.018038,2025-07-05
2025-05-01,2025-09-20,FB_CA_Calgary_Sep14_6PM_C25_M_AW_EN_Feed_6-25-25,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",7432,reach,7432,7997,0.49188069,3.655657,2025-07-05
2025-05-01,2025-09-20,IG_CA-Calgary_SEP14_7PM_C25_M/W_LPView_EN_Feed_7-8-25,"01:00:00 - 01:59:59",inactive,20,Daily,"7-day click or 1-day view",,,3726,4038,,15.14,2025-07-31
2025-05-01,2025-09-20,FB_CA_Calgary_SEP14_6PM_C25_M/W_LPView_EN_Feed_7-8-25,"01:00:00 - 01:59:59",inactive,20,Daily,"7-day click or 1-day view",,,2819,3068,,12.45,2025-07-31
2025-05-01,2025-09-20,IG_CA-Calgary_SEP14_7PM_C25_M/W_CONV-AddtoCart_EN_Feed_7-26-25,"01:00:00 - 01:59:59",inactive,20,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,3019,3338,,18.45,Ongoing
2025-05-01,2025-09-20,FB_CA_Calgary_SEP14_6PM_C25_M/W_CONVAddtoCart_EN_Feed_7-26-25,"01:00:00 - 01:59:59",inactive,20,Daily,"7-day click or 1-day view",,,2648,3194,,21.36,Ongoing
