"Campaign name","Ad Set Name","Ad name",Placement,"Delivery status","Delivery level","Ad Set Name","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks","Landing page views rate per link clicks","Result type",Results,"Cost per result","Adds to cart","Reporting starts","Reporting ends"
US-Columbus-SignUp-EN-OCT2025-Target,Targeted,T-Flyer,"Facebook Reels",not_delivering,ad,Targeted,280.77061635,"7-day click or 1-day view",6.07478778,46219,2.78780385,16579,0.04904909,2267,,"Landing page views",2091,0.13427576,122,2025-04-01,2025-09-17
FB_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,WM_30-50_EN_Feed_OCT28_Columbus_7PM_BrandMaxAmini_8-2-2025,CRS_EN_Columbus_OCT28_7PM_PissGuy_8-2-2025,Feed,not_delivering,ad,WM_30-50_EN_Feed_OCT28_Columbus_7PM_BrandMaxAmini_8-2-2025,272.22981655,"7-day click or 1-day view",13.07791202,20816,1.38358259,15045,0.0876249,1824,,"Landing page views",,,,2025-04-01,2025-09-17
FB_US_Columbus_CMH_1028_7PM_C25_W_LPViews_EN_Feed_9-3-2025,FB_WM_27-50_EN_Feed_OCT28_Columbus_7PM_FBIGEngagement_9-2-2025,CRS_EN_Columbus_OCT28_7PM_JobInterview_9-2-2025,Feed,not_delivering,ad,FB_WM_27-50_EN_Feed_OCT28_Columbus_7PM_FBIGEngagement_9-2-2025,200.04898581,"7-day click or 1-day view",7.80100553,25644,1.7467475,14681,0.06083294,1560,,"Landing page views",1513,0.13222008,99,2025-04-01,2025-09-17
FB_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,WM_30-50_EN_Feed_OCT28_Columbus_7PM_BrandMaxAmini_8-2-2025,Video_EN_OCT28_Columbus_7PM_PissGuy_8-2-2025,"Facebook Reels",not_delivering,ad,WM_30-50_EN_Feed_OCT28_Columbus_7PM_BrandMaxAmini_8-2-2025,199.71509802,"7-day click or 1-day view",10.01730943,19937,1.35875417,14673,0.02151778,429,,"Landing page views",,,1,2025-04-01,2025-09-17
FB_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,WM_30-50_EN_Feed_OCT28_Columbus_7PM_BrandMaxAmini_8-2-2025,Video_EN_OCT28_Columbus_7PM_PissGuy_8-2-2025,Feed,not_delivering,ad,WM_30-50_EN_Feed_OCT28_Columbus_7PM_BrandMaxAmini_8-2-2025,184.4947095,"7-day click or 1-day view",13.13784159,14043,1.32970363,10561,0.05903297,829,,"Landing page views",,,,2025-04-01,2025-09-17
IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,MW_21-45_EN_Feed_OCT28_Columbus_7PM_Comedy+Events_8-2-2025,Video_EN_OCT28_Columbus_7PM_PissGuy_8-2-2025,Feed,not_delivering,ad,MW_21-45_EN_Feed_OCT28_Columbus_7PM_Comedy+Events_8-2-2025,178.72378333,"7-day click or 1-day view",13.64512012,13098,1.49078079,8786,0.04351809,570,,"Landing page views",,,,2025-04-01,2025-09-17
IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,MW_21-45_EN_Feed_OCT28_Columbus_7PM_Comedy+Events_8-2-2025,Video_EN_OCT28_Columbus_7PM_PissGuy_8-2-2025,"Instagram Stories",not_delivering,ad,MW_21-45_EN_Feed_OCT28_Columbus_7PM_Comedy+Events_8-2-2025,169.24252163,"7-day click or 1-day view",16.15063667,10479,1.41283538,7417,0.03836244,402,,"Landing page views",1,169.24252163,,2025-04-01,2025-09-17
US-Columbus-SignUp-EN-OCT2025-Target,Targeted,T-Flyer,Feed,not_delivering,ad,Targeted,127.27201006,"7-day click or 1-day view",5.55360693,22917,2.16975952,10562,0.0400576,918,,"Landing page views",865,0.14713527,100,2025-04-01,2025-09-17
US-Columbus-SignUp-EN-OCT2025-Target,Targeted,T-Flyer,"Instagram Stories",not_delivering,ad,Targeted,119.32001006,"7-day click or 1-day view",6.68946628,17837,2.83983442,6281,0.05045692,900,,"Landing page views",838,0.14238665,68,2025-04-01,2025-09-17
IG_US_Columbus_OCT28_7PM_C25_W_LPViews_EN_Feed_8-2-2025,MW_21-45_EN_Feed_OCT28_Columbus_7PM_Comedy+Events_8-2-2025,Video_EN_OCT28_Columbus_7PM_PissGuy_8-2-2025,"Instagram Reels",not_delivering,ad,MW_21-45_EN_Feed_OCT28_Columbus_7PM_Comedy+Events_8-2-2025,99.60325451,"7-day click or 1-day view",8.78413039,11339,1.34443917,8434,0.01710909,194,,"Landing page views",1,99.60325451,,2025-04-01,2025-09-17
