"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Target,"00:00:00 - 00:59:59",inactive,20,Daily,6.23,"7-day click or 1-day view",3.692946,1687,1.067722,1580,0.09839953,166,,,,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Interest,"00:00:00 - 00:59:59",inactive,20,Daily,1.960193,"7-day click or 1-day view",5.185697,378,1.052925,359,0.14814815,56,,,,2025-09-12
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,3.136172,"7-day click or 1-day view",1.475846,2125,1.02657,2070,0.00094118,2,2070,reach,1.51505908,2025-07-05
2025-04-01,2025-09-17,IG_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,2.895112,"7-day click or 1-day view",1.379939,2098,1.012548,2072,0.00238322,5,2072,reach,1.39725501,2025-07-05
2025-04-01,2025-09-17,FB_CA_Edmonton_Sep12_7PM_C25_W_AW_EN_Feed_6-25-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,2.635147,"7-day click or 1-day view",1.373904,1918,1.066148,1799,0.00260688,5,1799,reach,1.4647846,2025-07-05
2025-04-01,2025-09-17,FB_CA_Edmonton_Sep12_7PM_C25_M_AW_EN_Feed_6-25-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,5.747732,"7-day click or 1-day view",1.795044,3202,1.042657,3071,0.00249844,8,3071,reach,1.87161591,2025-07-05
2025-04-01,2025-09-17,FB_CA_Edmonton_SEP12_7PM_C25_M/W_LPView_EN_Feed_7-8-25,"00:00:00 - 00:59:59",inactive,25,Daily,20.100367,"7-day click or 1-day view",4.054946,4957,1.089211,4551,0.08452693,419,,,,Ongoing
2025-04-01,2025-09-17,IG_CA-Edmonton_SEP12_7PM_C25_M/W_LPView_EN_Feed_7-8-25,"00:00:00 - 00:59:59",inactive,25,Daily,27.64,"7-day click or 1-day view",3.830377,7216,1.1,6560,0.06485588,468,,,,Ongoing
2025-04-01,2025-09-17,FB_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-3-2025,"00:00:00 - 00:59:59",inactive,30,Daily,14.36,"7-day click or 1-day view",4.62331,3106,1.174291,2645,0.04346426,135,,,,Ongoing
2025-04-01,2025-09-17,IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-3-2025,"00:00:00 - 00:59:59",inactive,30,Daily,19.06,"7-day click, 1-day view, or 1-day engaged-view",5.310672,3589,1.154762,3108,0.01922541,69,,,,Ongoing
2025-04-01,2025-09-17,IG_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,25.591904,"7-day click, 1-day view, or 1-day engaged-view",6.0401,4237,1.099377,3854,0.02147746,91,,,,Ongoing
2025-04-01,2025-09-17,FB_CA-Edmonton_SEP12_7PM_C25_M/W-AddtoCart_EN_Feed_8-22-2025,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,26.364153,"7-day click or 1-day view",6.642518,3969,1.091584,3636,0.03401361,135,,,,Ongoing
2025-04-01,2025-09-17,FB_CA-Edmonton_SEP12_7PM_C25_M/W-HotIntent3_EN_Feed_9-8-2025,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,3.880781,"7-day click or 1-day view",6.159969,630,1.048253,601,0.01428571,9,,,,Ongoing
2025-04-01,2025-09-17,IG_CA-Edmonton_SEP12_7PM_C25_M/W-HotIntent3_EN_Feed_9-8-2025,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,7.19,"7-day click or 1-day view",5.259693,1367,1.077226,1269,0.02048281,28,,,,Ongoing
2025-04-01,2025-09-17,IG_CA_EDM_0915_7PM_C25_LAL_CONV_LD0913,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,5.554878,"7-day click or 1-day view",3.794315,1464,1.096629,1335,0.03346995,49,,,,Ongoing
