"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Target,"Audience Network","Native, banner & interstitial",In-app,"Android Tablet",inactive,20,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Target,Facebook,"Facebook Notifications",In-app,iPhone,inactive,20,Daily,0.01,"7-day click or 1-day view",2.5,4,0,0,0,,,,,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Target,Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,20,Daily,0,"7-day click or 1-day view",0,4,0,0,0,,,,,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Target,Facebook,"Facebook profile feed",In-app,iPad,inactive,20,Daily,0,"7-day click or 1-day view",0,2,0,0,0,,,,,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Target,Facebook,"Facebook profile feed",In-app,iPhone,inactive,20,Daily,0.02,"7-day click or 1-day view",2.857143,7,0,0,0,,,,,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Target,Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,20,Daily,23.97,"7-day click or 1-day view",3.247527,7381,1.63008,4528,0.08860588,654,546,actions:landing_page_view,0.0439011,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Target,Facebook,"Facebook Reels",In-app,"Android Tablet",inactive,20,Daily,0.03,"7-day click or 1-day view",5,6,0,0,0,,,,,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Target,Facebook,"Facebook Reels",In-app,iPad,inactive,20,Daily,0.22,"7-day click or 1-day view",3.098592,71,2.21875,32,0.02816901,2,3,actions:landing_page_view,0.07333333,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Target,Facebook,"Facebook Reels",In-app,iPhone,inactive,20,Daily,46.2,"7-day click or 1-day view",3.101712,14895,1.506219,9889,0.06975495,1039,998,actions:landing_page_view,0.04629259,2025-09-12
2025-04-01,2025-09-17,CA-Edmonton-Traffic-SEP2025-Target,Facebook,"Facebook Reels",In-app,Other,inactive,20,Daily,0.01,"7-day click or 1-day view",3.333333,3,0,0,0,,,,,2025-09-12
