"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,"00:00:00 - 00:59:59",inactive,10,Daily,13.113652,"7-day click or 1-day view",5.482296,2392,1.200201,1993,0.0472408,113,,,,2025-09-05
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,"00:00:00 - 00:59:59",inactive,10,Daily,2.63,"7-day click or 1-day view",5.818584,452,1.083933,417,0.08628319,39,,,,2025-07-20
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,"00:00:00 - 00:59:59",inactive,25,Daily,9.98,"7-day click or 1-day view",7.730442,1291,1.044498,1236,0.05731991,74,,,,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_W_Leads_EN_Feed_7-2-25,"00:00:00 - 00:59:59",inactive,10,Daily,2.04,"7-day click, 1-day view, or 1-day engaged-view",11.208791,182,1.083333,168,0.02747253,5,,,,2025-07-31
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_M_Leads_EN_Feed_7-3-25,"00:00:00 - 00:59:59",inactive,10,Daily,1.1,"7-day click, 1-day view, or 1-day engaged-view",8.270677,133,1.055556,126,0.03007519,4,,,,2025-07-31
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_Leads_EN_Feed_7-3-25,"00:00:00 - 00:59:59",inactive,10,Daily,1.81,"7-day click, 1-day view, or 1-day engaged-view",12.657343,143,1.108527,129,0.04195804,6,,,,2025-07-31
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_M_Leads_EN_Feed_7-3-25,"00:00:00 - 00:59:59",inactive,10,Daily,1.93,"7-day click, 1-day view, or 1-day engaged-view",9.796954,197,1.223602,161,0.07106599,14,,,,2025-07-31
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,"00:00:00 - 00:59:59",inactive,25,Daily,8.3,"7-day click or 1-day view",7.572993,1096,1.059961,1034,0.09032847,99,,,,2025-07-18
2025-04-01,2025-09-17,FB/IG_T_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-16-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,7.219283,"7-day click or 1-day view",9.387884,769,1.134218,678,0.08452536,65,,,,2025-07-27
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,"01:00:00 - 01:59:59",inactive,10,Daily,5.271468,"7-day click or 1-day view",5.680461,928,1.128954,822,0.04094828,38,,,,2025-09-05
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,"01:00:00 - 01:59:59",inactive,10,Daily,1.19,"7-day click or 1-day view",5.891089,202,1.068783,189,0.06930693,14,,,,2025-07-20
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,"01:00:00 - 01:59:59",inactive,25,Daily,4.75,"7-day click or 1-day view",7.624398,623,1.031457,604,0.06260032,39,,,,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_W_Leads_EN_Feed_7-2-25,"01:00:00 - 01:59:59",inactive,10,Daily,0.98,"7-day click, 1-day view, or 1-day engaged-view",9.245283,106,1.12766,94,0.02830189,3,,,,2025-07-31
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_M_Leads_EN_Feed_7-3-25,"01:00:00 - 01:59:59",inactive,10,Daily,0.5,"7-day click, 1-day view, or 1-day engaged-view",7.692308,65,1.031746,63,0.01538462,1,,,,2025-07-31
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_Leads_EN_Feed_7-3-25,"01:00:00 - 01:59:59",inactive,10,Daily,0.51,"7-day click, 1-day view, or 1-day engaged-view",11.333333,45,1.071429,42,0.11111111,5,,,,2025-07-31
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_M_Leads_EN_Feed_7-3-25,"01:00:00 - 01:59:59",inactive,10,Daily,0.3,"7-day click, 1-day view, or 1-day engaged-view",6.122449,49,1.166667,42,0.04081633,2,,,,2025-07-31
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,"01:00:00 - 01:59:59",inactive,25,Daily,3.56,"7-day click or 1-day view",6.872587,518,1.009747,513,0.08494208,44,,,,2025-07-18
2025-04-01,2025-09-17,FB/IG_T_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-16-25,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,3.369665,"7-day click or 1-day view",8.596085,392,1.073973,365,0.08673469,34,,,,2025-07-27
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,"02:00:00 - 02:59:59",inactive,10,Daily,2.770772,"7-day click or 1-day view",5.772441,480,1.132075,424,0.05833333,28,,,,2025-09-05
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,"02:00:00 - 02:59:59",inactive,10,Daily,0.74,"7-day click or 1-day view",5.362319,138,1.086614,127,0.13768116,19,,,,2025-07-20
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,"02:00:00 - 02:59:59",inactive,25,Daily,2.51,"7-day click or 1-day view",7.426036,338,1.030488,328,0.04733728,16,,,,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_W_Leads_EN_Feed_7-2-25,"02:00:00 - 02:59:59",inactive,10,Daily,0.55,"7-day click, 1-day view, or 1-day engaged-view",8.208955,67,1.063492,63,0.01492537,1,,,,2025-07-31
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_M_Leads_EN_Feed_7-3-25,"02:00:00 - 02:59:59",inactive,10,Daily,0.22,"7-day click, 1-day view, or 1-day engaged-view",8.148148,27,1.038462,26,0.11111111,3,,,,2025-07-31
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_Leads_EN_Feed_7-3-25,"02:00:00 - 02:59:59",inactive,10,Daily,0.25,"7-day click, 1-day view, or 1-day engaged-view",10.869565,23,1.045455,22,0.13043478,3,,,,2025-07-31
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_M_Leads_EN_Feed_7-3-25,"02:00:00 - 02:59:59",inactive,10,Daily,0.29,"7-day click, 1-day view, or 1-day engaged-view",12.083333,24,1.2,20,0,,,,,2025-07-31
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,"02:00:00 - 02:59:59",inactive,25,Daily,2.2,"7-day click or 1-day view",7.534247,292,1.020979,286,0.10273973,30,,,,2025-07-18
2025-04-01,2025-09-17,FB/IG_T_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-16-25,"02:00:00 - 02:59:59",inactive,"Using ad set budget",0,2.249777,"7-day click or 1-day view",9.374069,240,1.085973,221,0.10833333,26,,,,2025-07-27
2025-04-01,2025-09-17,US-Portland-SignUp-EN-SEP2025-Target,"03:00:00 - 03:59:59",inactive,10,Daily,1.910532,"7-day click or 1-day view",5.553872,344,1.109677,310,0.05813953,20,,,,2025-09-05
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_LPView_EN_Feed_7-1-25,"03:00:00 - 03:59:59",inactive,10,Daily,0.52,"7-day click or 1-day view",5.842697,89,1.047059,85,0.1011236,9,,,,2025-07-20
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_MW_LPView_EN_Feed_7-10-25,"03:00:00 - 03:59:59",inactive,25,Daily,2.26,"7-day click or 1-day view",8.188406,276,1.010989,273,0.07608696,21,,,,2025-07-18
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_W_Leads_EN_Feed_7-2-25,"03:00:00 - 03:59:59",inactive,10,Daily,0.34,"7-day click, 1-day view, or 1-day engaged-view",9.444444,36,1.028571,35,0,,,,,2025-07-31
2025-04-01,2025-09-17,IG_US_Portland_SEP6_7PM_C25_M_Leads_EN_Feed_7-3-25,"03:00:00 - 03:59:59",inactive,10,Daily,0.19,"7-day click, 1-day view, or 1-day engaged-view",9.5,20,1,20,0.05,1,,,,2025-07-31
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_W_Leads_EN_Feed_7-3-25,"03:00:00 - 03:59:59",inactive,10,Daily,0.1,"7-day click, 1-day view, or 1-day engaged-view",7.692308,13,1,13,0,,,,,2025-07-31
2025-04-01,2025-09-17,FB_US_Portland_SEP6_7PM_C25_M_Leads_EN_Feed_7-3-25,"03:00:00 - 03:59:59",inactive,10,Daily,0.17,"7-day click, 1-day view, or 1-day engaged-view",7.083333,24,1.2,20,0.04166667,1,,,,2025-07-31
