"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,"Facebook Notifications",In-app,"Android Smartphone",inactive,25,Daily,0,"7-day click or 1-day view",0,3,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,"Facebook Notifications",In-app,iPhone,inactive,25,Daily,0.09,"7-day click or 1-day view",2.5,36,1.125,32,0.05555556,2,3,actions:landing_page_view,0.03,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,25,Daily,0.33,"7-day click or 1-day view",3.267327,101,1.402778,72,0.01980198,2,2,actions:landing_page_view,0.165,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,"Facebook profile feed",In-app,iPad,inactive,25,Daily,0.02,"7-day click or 1-day view",3.333333,6,1,6,0.16666667,1,1,actions:landing_page_view,0.02,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,"Facebook profile feed",In-app,iPhone,inactive,25,Daily,0.89,"7-day click or 1-day view",2.746914,324,1.306452,248,0.05555556,18,13,actions:landing_page_view,0.06846154,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,25,Daily,0.85,"7-day click or 1-day view",5.704698,149,1,149,0.04026846,6,6,actions:landing_page_view,0.14166667,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,"Facebook Reels",In-app,iPad,inactive,25,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,"Facebook Reels",In-app,iPhone,inactive,25,Daily,7.46,"7-day click or 1-day view",5.906572,1263,1.461806,864,0.06175772,78,66,actions:landing_page_view,0.1130303,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,"Facebook Reels",In-app,Other,inactive,25,Daily,0,"7-day click or 1-day view",0,1,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,"Facebook Reels","Mobile web","Android Smartphone",inactive,25,Daily,0.02,"7-day click or 1-day view",6.666667,3,0,0,0,,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,"Facebook Reels","Mobile web",iPhone,inactive,25,Daily,0.01,"7-day click or 1-day view",2.5,4,1,4,0,,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,"Ads on Reels",In-app,"Android Smartphone",inactive,25,Daily,0.03,"7-day click or 1-day view",0.517241,58,1.8125,32,0.01724138,1,1,actions:landing_page_view,0.03,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,"Ads on Reels",In-app,iPhone,inactive,25,Daily,0.39,"7-day click or 1-day view",1.127168,346,1.168919,296,0.00578035,2,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,"Facebook Stories",In-app,"Android Smartphone",inactive,25,Daily,0.02,"7-day click or 1-day view",6.666667,3,1,3,0,,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,"Facebook Stories",In-app,iPhone,inactive,25,Daily,0.05,"7-day click or 1-day view",5,10,1.25,8,0,,,,,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,Feed,In-app,"Android Smartphone",inactive,25,Daily,74.63,"7-day click or 1-day view",6.708918,11124,1.587329,7008,0.08845739,984,750,actions:landing_page_view,0.09950667,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,Feed,In-app,"Android Tablet",inactive,25,Daily,0.09,"7-day click or 1-day view",5.625,16,1,16,0.125,2,1,actions:landing_page_view,0.09,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,Feed,In-app,iPad,inactive,25,Daily,5.06,"7-day click or 1-day view",7.037552,719,2.090116,344,0.07788595,56,38,actions:landing_page_view,0.13315789,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,Feed,In-app,iPhone,inactive,25,Daily,459.37,"7-day click or 1-day view",6.762701,67927,1.85918,36536,0.07166517,4868,4205,actions:landing_page_view,0.10924376,Ongoing
2025-04-01,2025-09-17,FB_US_PDX_SEP6_7PM_C25_MW_LPView_EN_Feed_7-1-25,Facebook,Feed,In-app,Other,inactive,25,Daily,0.03,"7-day click or 1-day view",3.75,8,1,8,0,,1,actions:landing_page_view,0.03,Ongoing
