"Campaign name","Ad Set Name","Ad name",Placement,"Delivery status","Delivery level","Ad Set Name","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks","Landing page views rate per link clicks","Result type",Results,"Cost per result","Adds to cart","Reporting starts","Reporting ends"
FB_US_Sacramento_SMF_1108_8PM_C25_MW_LPView_EN_Feed_7-8-25,FB_MW_30-50_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_LD0906,CRS_EN_Sacramento_NOV8_8PM_PissGuy_7-8-25,Feed,not_delivering,ad,FB_MW_30-50_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_LD0906,470.75710038,"7-day click or 1-day view",7.25122996,64921,1.87557058,34614,0.08491859,5513,,"Landing page views",3275,0.14374263,134,2025-04-01,2025-09-17
IG_US-Sacramento_SMF_1108_8PM_C25_M/W_LPView_EN_Feed_7-8-25,MW_24-55_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_7-8-25,"Video_EN_Sacramento_NOV8_8PM_PissGuy_7-8-25 - Copy",Feed,inactive,ad,MW_24-55_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_7-8-25,168.12,"7-day click or 1-day view",7.52383083,22345,1.73755832,12860,0.07804878,1744,,"Landing page views",1083,0.15523546,,2025-04-01,2025-09-17
IG_US-Sacramento_SMF_1108_8PM_C25_M/W_LPView_EN_Feed_7-8-25,MW_24-55_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_7-8-25,Flyer_EN_Sacramento_NOV8_8PM_Flyer_7-8-25,"Instagram Stories",rejected,ad,MW_24-55_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_7-8-25,131.23484431,"7-day click or 1-day view",7.89572495,16621,1.73406364,9585,0.03086457,513,,"Landing page views",161,0.81512326,85,2025-04-01,2025-09-17
IG_US-Sacramento_SMF_1108_8PM_C25_M/W_LPView_EN_Feed_7-8-25,MW_24-55_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_7-8-25,Flyer_EN_Sacramento_NOV8_8PM_Flyer_7-8-25,Feed,rejected,ad,MW_24-55_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_7-8-25,122.42384768,"7-day click or 1-day view",8.2152629,14902,1.64463084,9061,0.02147363,320,,"Landing page views",75,1.63231797,45,2025-04-01,2025-09-17
US-Sacramento-Traffic-NOV2025-Interest,Interest,"I-CRS - Piss Guy",Feed,not_delivering,ad,Interest,110.69998827,"7-day click or 1-day view",6.63828186,16676,1.34820923,12369,0.10146318,1692,,"Landing page views",1551,0.0713733,,2025-04-01,2025-09-17
US-Sacramento-Traffic-NOV2025-Target,Targeted,"T-CRS - Piss Guy",Feed,not_delivering,ad,Targeted,109.68997265,"7-day click or 1-day view",6.83086142,16058,1.37037037,11718,0.10854403,1743,,"Landing page views",1574,0.06968867,,2025-04-01,2025-09-17
IG_US-Sacramento_SMF_1108_8PM_C25_M/W_LPView_EN_Feed_7-8-25,MW_24-55_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_7-8-25,Flyer_EN_Sacramento_NOV8_8PM_Flyer_7-8-25,"Instagram Reels",rejected,ad,MW_24-55_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_7-8-25,97.26100144,"7-day click or 1-day view",6.65305434,14619,1.60560132,9105,0.01887954,276,,"Landing page views",73,1.33234249,64,2025-04-01,2025-09-17
FB_US_Sacramento_SMF_1108_8PM_C25_MW_LPView_EN_Feed_7-8-25,FB_MW_30-50_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_LD0906,Video_EN_Sacramento_NOV8_8PM_PissGuy_7-8-25,Feed,active,ad,FB_MW_30-50_EN_Feed_NOV8_Sacramento_8PM_Comedy+Events+Max+Media_LD0906,84.1451288,"7-day click or 1-day view",6.47718642,12991,1.59731956,8133,0.06943268,902,,"Landing page views",766,0.10985004,47,2025-04-01,2025-09-17
US-Sacramento-Traffic-NOV2025-Interest,Interest,I-Flyer,"Facebook Reels",not_delivering,ad,Interest,80.20007159,"7-day click or 1-day view",5.42258767,14790,1.73652695,8517,0.04624746,684,,"Landing page views",638,0.12570544,,2025-04-01,2025-09-17
US-Sacramento-Traffic-NOV2025-Interest,Interest,I-Flyer,Feed,not_delivering,ad,Interest,76.92966089,"7-day click or 1-day view",5.00322977,15376,1.7181808,8949,0.03733091,574,,"Landing page views",515,0.14937798,,2025-04-01,2025-09-17
