"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,US-Seattle-SignUp-EN-SEP2025-Target,"00:00:00 - 00:59:59",inactive,10,Daily,15.912768,"7-day click or 1-day view",5.563905,2860,1.19117,2401,0.07692308,220,,,,2025-09-05
2025-04-01,2025-09-17,IG_US_Seattle_SEP7_6PM_C25_M/W_LPView_EN_Feed_7-8-25,"00:00:00 - 00:59:59",inactive,25,Daily,10.64,"7-day click or 1-day view",5.859031,1816,1.084179,1675,0.0561674,102,,,,2025-07-18
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-8-25,"00:00:00 - 00:59:59",inactive,25,Daily,10.71,"7-day click or 1-day view",6.510638,1645,1.093023,1505,0.08206687,135,,,,2025-07-18
2025-04-01,2025-09-17,FB/IG_T_US_Seattle_SEP7_6PM_C25_MW_LPView_EN_Feed_7-16-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,35.600437,"7-day click or 1-day view",6.658021,5347,1.129489,4734,0.05909856,316,,,,Ongoing
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-8-25,"00:00:00 - 00:59:59",inactive,25,Daily,8.18,"7-day click, 1-day view, or 1-day engaged-view",6.538769,1251,1.157262,1081,0.02877698,36,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Seattle_SEP7_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-8-25,"00:00:00 - 00:59:59",inactive,25,Daily,11.77,"7-day click, 1-day view, or 1-day engaged-view",7.947333,1481,1.123672,1318,0.01688049,25,,,,Ongoing
2025-04-01,2025-09-17,IG_US_Seattle_SEP7_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"00:00:00 - 00:59:59",inactive,25,Daily,38.42895,"7-day click, 1-day view, or 1-day engaged-view",15.17731,2532,1.110526,2280,0.0150079,38,,,,Ongoing
2025-04-01,2025-09-17,FB_US_Seattle_SEP7_7PM_C25_M/W_CONV_AddtoCart_EN_Feed_8-22-25,"00:00:00 - 00:59:59",inactive,25,Daily,37.058216,"7-day click, 1-day view, or 1-day engaged-view",14.042522,2639,1.211106,2179,0.0265252,70,,,,Ongoing
2025-04-01,2025-09-17,US-Seattle-SignUp-EN-SEP2025-Target,"01:00:00 - 01:59:59",inactive,10,Daily,5.23091,"7-day click or 1-day view",5.558884,941,1.075429,875,0.07970244,75,,,,2025-09-05
2025-04-01,2025-09-17,IG_US_Seattle_SEP7_6PM_C25_M/W_LPView_EN_Feed_7-8-25,"01:00:00 - 01:59:59",inactive,25,Daily,4.58,"7-day click or 1-day view",5.558252,824,1.075718,766,0.05946602,49,,,,2025-07-18
