"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Amount spent (USD)","Attribution setting","CPM (cost per 1,000 impressions) (USD)",Impressions,Frequency,Reach,"CTR (Link)","Link clicks",Results,"Result indicator","Cost per results",Ends
2025-04-01,2025-09-17,US-Seattle-SignUp-EN-SEP2025-Target,Facebook,"Facebook Notifications",In-app,iPhone,inactive,10,Daily,0.070012,"7-day click or 1-day view",2.692776,26,1.3,20,0.03846154,1,1,actions:landing_page_view,0.07001218,2025-09-05
2025-04-01,2025-09-17,US-Seattle-SignUp-EN-SEP2025-Target,Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,10,Daily,0.020003,"7-day click or 1-day view",5.00087,4,1,4,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Seattle-SignUp-EN-SEP2025-Target,Facebook,"Facebook profile feed",In-app,iPhone,inactive,10,Daily,0.050009,"7-day click or 1-day view",3.333913,15,1,15,0.2,3,2,actions:landing_page_view,0.02500435,2025-09-05
2025-04-01,2025-09-17,US-Seattle-SignUp-EN-SEP2025-Target,Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,10,Daily,27.164725,"7-day click or 1-day view",5.991338,4534,1.873554,2420,0.08800176,399,332,actions:landing_page_view,0.08182146,2025-09-05
2025-04-01,2025-09-17,US-Seattle-SignUp-EN-SEP2025-Target,Facebook,"Facebook Reels",In-app,"Android Tablet",inactive,10,Daily,0.120021,"7-day click or 1-day view",10.00174,12,3,4,0.25,3,2,actions:landing_page_view,0.06001044,2025-09-05
2025-04-01,2025-09-17,US-Seattle-SignUp-EN-SEP2025-Target,Facebook,"Facebook Reels",In-app,iPad,inactive,10,Daily,0.17003,"7-day click or 1-day view",4.474462,38,1.9,20,0.15789474,6,6,actions:landing_page_view,0.02833826,2025-09-05
2025-04-01,2025-09-17,US-Seattle-SignUp-EN-SEP2025-Target,Facebook,"Facebook Reels",In-app,iPhone,inactive,10,Daily,127.812231,"7-day click or 1-day view",5.465097,23387,2.076629,11262,0.07696584,1800,1680,actions:landing_page_view,0.07607871,2025-09-05
2025-04-01,2025-09-17,US-Seattle-SignUp-EN-SEP2025-Target,Facebook,"Ads on Reels",In-app,"Android Smartphone",inactive,10,Daily,0.010002,"7-day click or 1-day view",0.285764,35,1,35,0,,,,,2025-09-05
2025-04-01,2025-09-17,US-Seattle-SignUp-EN-SEP2025-Target,Facebook,"Ads on Reels",In-app,iPhone,inactive,10,Daily,0.140024,"7-day click or 1-day view",0.891875,157,1.509615,104,0.01273885,2,,,,2025-09-05
2025-04-01,2025-09-17,US-Seattle-SignUp-EN-SEP2025-Target,Facebook,"Facebook Stories",In-app,"Android Smartphone",inactive,10,Daily,0.17003,"7-day click or 1-day view",5.00087,34,1.416667,24,0.05882353,2,2,actions:landing_page_view,0.08501479,2025-09-05
