"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"Facebook profile feed",In-app,"Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",,,8,8,,0.010009,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"Facebook profile feed",In-app,iPhone,inactive,10,Daily,"7-day click or 1-day view",1,actions:landing_page_view,8,11,0.01000928,0.010009,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",238,actions:landing_page_view,2130,3421,0.04739687,11.280456,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"Facebook Reels",In-app,"Android Tablet",inactive,10,Daily,"7-day click or 1-day view",,,0,7,,0,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"Facebook Reels",In-app,iPad,inactive,10,Daily,"7-day click or 1-day view",2,actions:landing_page_view,36,36,0.04504175,0.090084,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"Facebook Reels",In-app,iPhone,inactive,10,Daily,"7-day click or 1-day view",624,actions:landing_page_view,5789,8901,0.04273191,26.664715,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"Ads on Reels",In-app,"Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",2,actions:landing_page_view,80,130,0.02502319,0.050046,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"Ads on Reels",In-app,iPhone,inactive,10,Daily,"7-day click or 1-day view",,,72,84,,0.050046,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"Facebook Stories",In-app,"Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",13,actions:landing_page_view,120,120,0.03310761,0.430399,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"Facebook Stories",In-app,iPhone,inactive,10,Daily,"7-day click or 1-day view",16,actions:landing_page_view,336,465,0.09133466,1.461354,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,Feed,Desktop,Desktop,inactive,10,Daily,"7-day click or 1-day view",3,actions:landing_page_view,0,25,0.01000928,0.030028,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,Feed,In-app,"Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",70,actions:landing_page_view,593,844,0.04518474,3.162932,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,Feed,In-app,"Android Tablet",inactive,10,Daily,"7-day click or 1-day view",,,0,2,,0,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,Feed,In-app,iPad,inactive,10,Daily,"7-day click or 1-day view",1,actions:landing_page_view,32,32,0.08007422,0.080074,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,Feed,In-app,iPhone,inactive,10,Daily,"7-day click or 1-day view",135,actions:landing_page_view,1081,1429,0.03373497,4.554221,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,Feed,"Mobile web","Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",4,actions:landing_page_view,40,48,0.04504175,0.180167,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,Feed,"Mobile web",iPhone,inactive,10,Daily,"7-day click or 1-day view",2,actions:landing_page_view,32,88,0.1301206,0.260241,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"In-stream reels",In-app,"Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",,,8,16,,0.010009,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"In-stream reels",In-app,iPhone,inactive,10,Daily,"7-day click or 1-day view",,,0,17,,0.030028,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,Marketplace,In-app,"Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",1,actions:landing_page_view,0,5,0.01000928,0.010009,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,Marketplace,In-app,iPhone,inactive,10,Daily,"7-day click or 1-day view",,,0,3,,0.010009,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"Right column",Desktop,Desktop,inactive,10,Daily,"7-day click or 1-day view",,,7,7,,0.010009,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"Feed: video feeds",In-app,"Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",1,actions:landing_page_view,0,3,0,0,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"Feed: video feeds",In-app,iPad,inactive,10,Daily,"7-day click or 1-day view",,,0,3,,0,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Facebook,"Feed: video feeds",In-app,iPhone,inactive,10,Daily,"7-day click or 1-day view",,,0,12,,0.030028,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,Feed,In-app,"Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",210,actions:landing_page_view,1826,2842,0.04151467,8.718081,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,Feed,In-app,"Android Tablet",inactive,10,Daily,"7-day click or 1-day view",,,0,1,,0,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,Feed,In-app,iPad,inactive,10,Daily,"7-day click or 1-day view",9,actions:landing_page_view,24,65,0.03002783,0.27025,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,Feed,In-app,iPhone,inactive,10,Daily,"7-day click or 1-day view",736,actions:landing_page_view,7767,11552,0.04249863,31.278992,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,Explore,In-app,"Android Smartphone",inactive,10,Daily,"7-day click or 1-day view",7,actions:landing_page_view,80,129,0.05147628,0.360334,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,Explore,In-app,"Android Tablet",inactive,10,Daily,"7-day click or 1-day view",,,0,1,,0,2025-06-10
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy",Instagram,Explore,In-app,iPad,inactive,10,Daily,"7-day click or 1-day view",,,0,1,,0,2025-06-10
