"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,"CA-Toronto-SignUp-EN-MAY2025-Target - Copy","00:00:00 - 00:59:59",inactive,10,Daily,"7-day click or 1-day view",,,2466,2684,,7.847273,2025-06-10
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Target-2ND,"00:00:00 - 00:59:59",inactive,20,Daily,"7-day click or 1-day view",,,4807,5179,,17.40388,2025-10-04
2025-05-01,2025-09-20,CA-Toronto-Traffic-OCT2025-Interest-2ND,"00:00:00 - 00:59:59",inactive,20,Daily,"7-day click or 1-day view",,,8992,9479,,53.554191,2025-10-04
2025-05-01,2025-09-20,"IT-Rome-Traffic-EN-Jun2025-Target - Story-FB-IG","00:00:00 - 00:59:59",completed,"Using ad set budget",0,"7-day click or 1-day view",,,8578,8672,,29.41308,2025-06-09
2025-05-01,2025-09-20,"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","00:00:00 - 00:59:59",completed,"Using ad set budget",0,"7-day click or 1-day view",,,13920,14601,,46.864233,2025-06-09
2025-05-01,2025-09-20,FB_CA_Toronto_Oct4_9PM_C25_W_AW_EN_Feed_6-27-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",2350,reach,2350,2360,1.69551996,3.984472,2025-07-07
2025-05-01,2025-09-20,IG_CA_Toronto_Oct4_9PM_C25_W_AW_EN_Feed_6-27-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",3345,reach,3345,3437,1.3200487,4.415563,2025-07-07
2025-05-01,2025-09-20,IG_CA_Toronto_Oct4_9PM_C25_M_AW_EN_Feed_6-27-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",4362,reach,4362,4435,1.2372342,5.396816,2025-07-07
2025-05-01,2025-09-20,FB_CA_Toronto_Oct4_9PM_C25_M_AW_EN_Feed_6-27-25,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",3197,reach,3197,3296,2.17675848,6.959097,2025-07-07
2025-05-01,2025-09-20,IG_CA-Toronto_OCT4_9PM_C25_M/W_LPView_EN_Feed_7-8-25,"00:00:00 - 00:59:59",inactive,20,Daily,"7-day click or 1-day view",,,2888,2915,,8.06,2025-07-31
2025-05-01,2025-09-20,FB_CA_Toronto_OCT4_9PM_C25_M/W_LPView_EN_Feed_7-8-25,"00:00:00 - 00:59:59",inactive,20,Daily,"7-day click or 1-day view",,,1735,1796,,6.01,2025-07-31
2025-05-01,2025-09-20,IG_CA-Toronto_OCT5_7PM_C25_M/W_AddtoCart_EN_Feed_7-18-25,"00:00:00 - 00:59:59",inactive,30,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,10300,11527,,51.08114,Ongoing
2025-05-01,2025-09-20,FB_CA_Toronto_OCT5_7PM_C25_M/W_LPView_EN_Feed_7-18-25,"00:00:00 - 00:59:59",inactive,30,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,9092,10365,,54.84,Ongoing
2025-05-01,2025-09-20,FB_CA_Toronto_OCT5_4PM_C25_M/W_LPView_EN_Feed_8-20-25-4th,"00:00:00 - 00:59:59",inactive,40,Daily,"7-day click, 1-day view, or 1-day engaged-view",,,1801,2072,,11.371562,Ongoing
2025-05-01,2025-09-20,IG_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th,"00:00:00 - 00:59:59",active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",,,10803,12026,,50.164705,Ongoing
2025-05-01,2025-09-20,"FB_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th - Copy","00:00:00 - 00:59:59",active,"Using ad set budget",0,"7-day click, 1-day view, or 1-day engaged-view",,,6798,7813,,39.707972,Ongoing
