"Campaign name","Time of day (viewer's time zone)","Ad Set Name","Ad name","Campaign ID","Ad set ID","Ad ID","Delivery status","Delivery level","Ad Set Name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (USD)",Frequency,"Link clicks","CPC (cost per link click)","CTR (Link)","Clicks (all)","CPM (cost per 1,000 impressions)","CTR (link click-through rate)","Adds to cart","Cost per add to cart","Adds to cart conversion value","Reporting starts","Reporting ends"
,,,,,,,,,,,mixed,,1005548,2092569,,0,0,0,7748.71,2.08102348,82428,0.0940058,0.03939082,113551,3.70296511,3.93908158,39559,0.1958773,,2025-05-01,2025-09-20
IG_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th,"22:00:00 - 22:59:59",IG_MW_24-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,Flyer_EN_Toronto_OCT5_4PM_Flyer_8-20-25,120231457080950429,120231457081080429,120231457081000429,active,ad,IG_MW_24-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,13407,15059,,-,-,-,76.13150065,1.12321921,759,0.10030501,0.05040175,858,5.05554822,5.04017531,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","23:00:00 - 23:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,18163,19839,,-,-,-,68.16615746,1.09227551,324,0.21038937,0.01633147,374,3.43596741,1.63314683,,,,2025-05-01,2025-09-20
"FB_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th - Copy","23:00:00 - 23:59:59",FB_MW_30-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,Flyer_EN_Toronto_OCT5_4PM_Flyer_8-20-25,120231844648880429,120231844648950429,120231844648910429,active,ad,FB_MW_30-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,11325,12353,,-,-,-,67.26354167,1.09077263,513,0.13111801,0.04152837,1104,5.44511792,4.15283737,,,,2025-05-01,2025-09-20
"IT-Rome-Traffic-EN-Jun2025-Target - Story-FB-IG","09:00:00 - 09:59:59",Targeted,T-Flyer,120226616534680429,120226616534850429,120226616534740429,not_delivering,ad,Targeted,"7-day click or 1-day view","Landing page views",,25806,25806,,-,-,-,64.9569233,1,144,0.45108975,0.0055801,191,2.51712483,0.55800977,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","22:00:00 - 22:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,15511,16641,,-,-,-,64.77585121,1.07285152,286,0.22648899,0.01718647,327,3.89254559,1.71864672,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","21:00:00 - 21:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,13615,14129,,-,-,-,57.03515199,1.03775248,272,0.20968806,0.01925119,307,4.03674372,1.92511855,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","14:00:00 - 14:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,12855,13723,,-,-,-,54.76494693,1.06752236,250,0.21905979,0.01821759,286,3.9907416,1.82175909,,,,2025-05-01,2025-09-20
"IT-Rome-EN-Traffic-MAY2025-Interest - Story-FB-IG","13:00:00 - 13:59:59",Interest,I-Flyer,120226616928460429,120226616928450429,120226616928500429,not_delivering,ad,Interest,"7-day click or 1-day view","Landing page views",,13022,13804,,-,-,-,52.64475541,1.06005222,254,0.20726282,0.01840046,274,3.81373192,1.84004636,,,,2025-05-01,2025-09-20
IG_CA-Toronto_OCT5_4PM_C25_M/W_AddtoCart_EN_Feed_8-20-25-4th,"03:00:00 - 03:59:59",IG_MW_24-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,Flyer_EN_Toronto_OCT5_4PM_Flyer_8-20-25,120231457080950429,120231457081080429,120231457081000429,active,ad,IG_MW_24-50_EN_Feed_OCT5_Toronto_4PM_VideoPageViews_8-20-25,"7-day click, 1-day view, or 1-day engaged-view","Website adds to cart",,9262,9962,,-,-,-,51.24427907,1.07557763,212,0.2417183,0.02128087,242,5.14397501,2.12808673,,,,2025-05-01,2025-09-20
