"Reporting starts","Reporting ends","Campaign name",Platform,Placement,"Device platform","Impression device","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Facebook,"Facebook profile feed",In-app,iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",,,6,6,,0.039946,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Facebook,"Facebook Reels",In-app,"Android Smartphone",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,24,39,,0.249663,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Facebook,"Facebook Reels",In-app,iPad,inactive,"Using ad set budget",0,"7-day click or 1-day view",,,0,2,,0.009987,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Facebook,"Facebook Reels",In-app,iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",,,60,84,,0.649123,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Facebook,"Facebook Stories",In-app,"Android Smartphone",inactive,"Using ad set budget",0,"7-day click or 1-day view",1,actions:lead,8,11,0.16977056,0.169771,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Facebook,"Facebook Stories",In-app,iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",1,actions:lead,40,74,0.77894729,0.778947,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Facebook,Feed,Desktop,Desktop,inactive,"Using ad set budget",0,"7-day click or 1-day view",,,18,18,,0.289609,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Facebook,Feed,In-app,"Android Smartphone",inactive,"Using ad set budget",0,"7-day click or 1-day view",5,actions:lead,367,515,0.83087711,4.154386,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Facebook,Feed,In-app,iPad,inactive,"Using ad set budget",0,"7-day click or 1-day view",,,8,13,,0.079892,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Facebook,Feed,In-app,iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",32,actions:lead,1875,3181,0.81702083,26.144667,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Facebook,Feed,"Mobile web","Android Smartphone",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,12,12,,0.049933,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Facebook,Feed,"Mobile web",iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",,,61,61,,0.289609,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Instagram,Feed,In-app,"Android Smartphone",inactive,"Using ad set budget",0,"7-day click or 1-day view",14,actions:lead,467,655,0.44582606,6.241565,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Instagram,Feed,In-app,"Android Tablet",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,0,1,,0,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Instagram,Feed,In-app,iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",176,actions:lead,4971,7493,0.46198928,81.310113,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Instagram,Explore,In-app,"Android Smartphone",inactive,"Using ad set budget",0,"7-day click or 1-day view",1,actions:lead,4,8,0.03994601,0.039946,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Instagram,Explore,In-app,iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",1,actions:lead,120,153,1.03859638,1.038596,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Instagram,"Explore home",In-app,iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",,,4,5,,0.019973,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Instagram,"Instagram Reels",In-app,"Android Smartphone",inactive,"Using ad set budget",0,"7-day click or 1-day view",1,actions:lead,75,75,0.67908225,0.679082,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Instagram,"Instagram Reels",In-app,"Android Tablet",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,1,1,,0,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Instagram,"Instagram Reels",In-app,iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",5,actions:lead,806,894,1.56388648,7.819432,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Instagram,"Instagram Stories",In-app,"Android Smartphone",inactive,"Using ad set budget",0,"7-day click or 1-day view",20,actions:lead,455,735,0.48883936,9.776787,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Instagram,"Instagram Stories",In-app,iPhone,inactive,"Using ad set budget",0,"7-day click or 1-day view",241,actions:lead,5996,9481,0.49439409,119.148975,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,Uncategorized,Uncategorized,Uncategorized,Other,inactive,"Using ad set budget",0,"7-day click or 1-day view",2,actions:lead,0,0,0,0,Ongoing
