"Reporting starts","Reporting ends","Campaign name","Time of day (viewer's time zone)","Campaign Delivery","Ad set budget","Ad set budget type","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Amount spent (USD)",Ends
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"00:00:00 - 00:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,679,765,,8.528474,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"01:00:00 - 01:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,306,323,,3.335492,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"02:00:00 - 02:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,168,181,,1.927395,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"03:00:00 - 03:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,161,175,,1.797571,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"04:00:00 - 04:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,185,208,,2.097166,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"05:00:00 - 05:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,275,304,,3.505263,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"06:00:00 - 06:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,560,629,,6.531173,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"07:00:00 - 07:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,841,940,,10.365991,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"08:00:00 - 08:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,901,1032,,10.585694,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"09:00:00 - 09:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,818,912,,10.256139,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"10:00:00 - 10:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,762,868,,10.455869,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"11:00:00 - 11:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,841,932,,10.156274,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"12:00:00 - 12:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,968,1064,,11.404587,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"13:00:00 - 13:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,896,981,,10.675572,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"14:00:00 - 14:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,938,1039,,11.664236,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"15:00:00 - 15:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,842,916,,9.477192,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"16:00:00 - 16:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,926,1070,,11.364641,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"17:00:00 - 17:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,1172,1302,,14.190822,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"18:00:00 - 18:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,1660,1792,,19.074222,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"19:00:00 - 19:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,1412,1589,,18.295275,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"20:00:00 - 20:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,1440,1603,,17.266665,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"21:00:00 - 21:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,1753,1937,,22.419701,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"22:00:00 - 22:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,1529,1725,,19.603507,Ongoing
2025-05-01,2025-09-20,IG_FB_US_LA_UpStairs_25-38_InstantForm,"23:00:00 - 23:59:59",inactive,"Using ad set budget",0,"7-day click or 1-day view",,,1111,1230,,14.001078,Ongoing
